year,expense,amount
2024-2025,tuition_first_year,69375.0
2024-2025,required_fees,1214.0
2024-2025,food_and_housing,21975.0
2024-2025,housing_only,121
2024-2025,food_only,2197
2024-2025,books_supplies,1539.0
2024-2025,transportation,2079.0
2024-2025,other_expenses,2079.0
2023-2024,tuition_first_year,67158.0
2023-2024,required_fees,1164.0
2023-2024,food_and_housing,21126.0
2023-2024,housing_only,116
2023-2024,food_only,2112
2023-2024,books_supplies,1794.0
2023-2024,transportation,1545.0
2023-2024,other_expenses,2037.0
2018-2019,tuition_first_year,5623
2018-2019,tuition_out_of_state,56232
2018-2019,room_and_board,17019
