year,metric,sex,value
2024-2025,applied,male,45100
2024-2025,applied,female,65707
2024-2025,admitted,male,4097
2024-2025,admitted,female,6135
2024-2025,enrolled,male,2353
2024-2025,enrolled,female,3313
2023-2024,applied,male,45117.0
2023-2024,applied,female,68457.0
2023-2024,applied,unknown,4.0
2023-2024,admitted,male,4256.0
2023-2024,admitted,female,6433.0
2023-2024,admitted,unknown,4.0
2023-2024,enrolled,male,2452.0
2023-2024,enrolled,female,3362.0
2023-2024,enrolled,unknown,4.0
2019-2020,applied,male,32065
2019-2020,applied,female,47397
2019-2020,admitted,male,5234
2019-2020,admitted,female,7639
2019-2020,enrolled,male,2448
2019-2020,enrolled,female,3304
