year,section,field,label,raw_preview
2024-2025,A,A0,Respondent Information (Not for Publication),"A0 Respondent Information (Not for Publication) Name: Title: Office: Office of Institutional Research Mailing Address: 3 Washington Square Villlage, 1M City/State/Zip/Country: New York, NY 10012 United States Phone: Fax: E-mail Address: external.reporting@nyu.edu Are your responses to the CDS posted"
2024-2025,A,A0A,We invite you to indicate if there are items on the CDS for which you cannot use the requested analytic,"A0A We invite you to indicate if there are items on the CDS for which you cannot use the requested analytic convention, cannot provide data for the cohort requested, whose methodology is unclear, or about which you have questions or comments in general. This information will not be published but wil"
2024-2025,A,A1,Address Information                            A Response Text,"A1 Address Information A Response Text Name of College/University: New York University Mailing Address: 70 Washington Square South City/State/Zip/Country: New York, NY 10012 United States Street Address (if different): City/State/Zip/Country: Main Phone Number: (212) 998-1212 WWW Home Page Address: "
2024-2025,A,A2,Source of institutional control (Check only one):,A2 Source of institutional control (Check only one): Public X Private (nonprofit) Proprietary
2024-2025,A,A3,Classify your undergraduate institution:,A3 Classify your undergraduate institution: X Coeducational college Men's college Women's college
2024-2025,A,A4,Academic year calendar:,A4 Academic year calendar: X Semester Quarter Trimester 4-1-4 Continuous Differs by program (describe): Other (describe): CDS-A Page 1
2024-2025,A,A5,Degrees offered by your institution:,A5 Degrees offered by your institution: X Certificate X Diploma X Associate Transfer Associate X Terminal Associate X Bachelor's X Postbachelor's certificate X Master's X Post-master's certificate X Doctoral degree research/scholarship X Doctoral degree – professional practice X Doctoral degree -- o
2024-2025,A,A6,"Diversity, Equity, and Inclusion","A6 Diversity, Equity, and Inclusion Di If you have a diversity, equity, and inclusion office or department, please provide the URL of the corresponding Web page: https://www.nyu.edu/life/global-inclusion-and-diversity CDS-A Page 2 CDS-A Page 3 CDS-A Page 4 CDS-A Page 5 CDS-A Page 6 CDS-A Page 7 CDS-"
2024-2025,B,B1,Institutional Enrollment - Men and Women,"B1 Institutional Enrollment - Men and Women Provide numbers of students for each of the following categories as of the institution's official fall reporting date or as of October 15, 2024. • Note: Report students formerly designated as “first professional” in the graduate cells. • For information on"
2024-2025,B,B2,Enrollment by Racial/Ethnic Category.,"B2 Enrollment by Racial/Ethnic Category. Provide numbers of undergraduate students for each of the following categories as of the institution’s official fall reporting date or as of Octo • Include international students only in the category ""Nonresidents."" • Complete the “Total Undergraduates” colum"
2024-2025,B,B3,"Number of degrees awarded by your institution from July 1, 2023, to June 30, 2024.","B3 Number of degrees awarded by your institution from July 1, 2023, to June 30, 2024. Certificate/diploma 0 Associate degrees 83 Bachelor's degrees 7932 Postbachelor's certificates 54 Master's degrees 10951 Post-Master's certificates 139 Doctoral degrees – research/scholarship 540 Doctoral degrees –"
2024-2025,B,B4,-B21: Graduation Rates,"B4-B21: Graduation Rates The items in this section correspond to data elements collected by the IPEDS Web-based Data Collection System’s Graduation Rate Survey • For complete instructions and definitions of data elements, see the IPEDS GRS Forms and Instructions for the 2024-2025 Survey. https://nce"
2024-2025,B,B12,"Initial cohort, total of first-time, full-time degree/certificate-seeking students:","B12 Initial cohort, total of first-time, full-time degree/certificate-seeking students: na na"
