year,category,male,female,unknown
2024-2025,undergrad_FT_total,11349,16663,0
2024-2025,undergrad_PT_total,478,570,0
2024-2025,undergrad_total,11827,17233,0
2024-2025,graduate_FT_total,9465,12447,0
2024-2025,graduate_PT_total,2484,3372,0
2024-2025,graduate_total,11949,15819,0
2024-2025,total_undergraduates,29060,,
2024-2025,total_graduate,27768,,
2024-2025,grand_total,56828,,
2023-2024,undergrad_total,11704.0,518.0,16981.0
2023-2024,graduate_total,8950.0,2721.0,12190.0
2019-2020,total_undergraduates,26981,,
2019-2020,total_graduate,25904,,
2019-2020,grand_total,52885,,
