year,metric,value
2024-2025,applied,65226
2024-2025,admitted,3523
2024-2025,enrolled,2395
2023-2024,applied,59465
2023-2024,admitted,3489
2023-2024,enrolled,2416
2022-2023,applied,54588
2022-2023,admitted,3549
2022-2023,enrolled,2409
2021-2022,applied,56332
2021-2022,admitted,3304
2021-2022,enrolled,2418
2020-2021,applied,42205
2020-2021,admitted,3789
2020-2021,enrolled,2321
2019-2020,applied,44961
2019-2020,admitted,3446
2019-2020,enrolled,2400
2018-2019,applied,44491
2018-2019,admitted,3740
2018-2019,enrolled,2518
2017-2018,applied,40413
2017-2018,admitted,3757
2017-2018,enrolled,2456
2016-2017,applied,38918
2016-2017,admitted,3674
2016-2017,enrolled,2491
2015-2016,applied,37268
2015-2016,admitted,3787
2015-2016,enrolled,2435
2014-2015,applied,35866
2014-2015,admitted,3718
2014-2015,enrolled,2425
2013-2014,applied,31282
2013-2014,admitted,3830
2013-2014,enrolled,2421
2012-2013,applied,31218
2012-2013,admitted,3935
2012-2013,enrolled,2461
2011-2012,applied,31663
2011-2012,admitted,3935
2011-2012,enrolled,2467
2010-2011,applied,26941
2010-2011,admitted,3841
2010-2011,enrolled,2410
2009-2010,applied,22808
2009-2010,admitted,4040
2009-2010,enrolled,2475
