year,section,field,label,raw_preview
2024-2025,A,A1,Address Information,"A1 Address Information A1 University of Pennsylvania A1 Mailing Address: 1 College Hall, Room 100 A1 City/State/Zip/Country: Philadelphia, PA 19104-6228 A1 Main Phone Number: 215-898-5000 A1 Home Page Address www.upenn.edu A1 Admissions Phone Number: 215-898-7507 A1 Admissions Office Mailing Address"
2024-2025,A,A2,Source of institutional control (Check only one):,A2 Source of institutional control (Check only one): A2 Public A2 Private (nonprofit) x A2 Proprietary
2024-2025,A,A3,Classify your undergraduate institution:,A3 Classify your undergraduate institution: A3 Coeducational college x A3 Men's college A3 Women's college
2024-2025,A,A4,Academic year calendar:,A4 Academic year calendar: A4 Semester x A4 Quarter A4 Trimester A4 4-1-4 A4 Continuous
2024-2025,A,A5,Degrees offered by your institution:,A5 Degrees offered by your institution: A5 Certificate A5 Diploma A5 Associate A5 Transfer A5 Terminal A5 Bachelor's x A5 Post-bachelor's certificate x A5 Master's x A5 Post-master's certificate x A5 Doctoral degree - research/scholarship x A5 Doctoral degree - professional practice x A5 Doctoral de
2024-2025,A,A6,"Diversity, Equity, and Inclusion","A6 Diversity, Equity, and Inclusion https://belonging.upenn.edu/ In response to the implementation of Workday, Interfolio, and Penn’s Next Generation Student Systems, IR&A is reviewing and assessing all reporting processes and making adjustments where appropriate. New conventions may impact trends i"
2024-2025,B,B1,"Institutional Enrollment - Men and Women: Provide numbers of students for each of the following categories as of the institution's official fall reporting date or as of October 15,","B1 Institutional Enrollment - Men and Women: Provide numbers of students for each of the following categories as of the institution's official fall reporting date or as of October 15, 2024. Note: Report students formerly designated as “first professional” in the graduate cells. Please see: https://n"
2024-2025,B,B2,Enrollment by Racial/Ethnic Category. Provide numbers of undergraduate students for each of the following categories as of the institution's official fall reporting date or as of,"B2 Enrollment by Racial/Ethnic Category. Provide numbers of undergraduate students for each of the following categories as of the institution's official fall reporting date or as of October 15, 2024. Include international students only in the category ""International (nonresidents)."" Complete the ""To"
2024-2025,B,B3,"Number of degrees awarded from July 1, 2023 to June 30, 2024","B3 Number of degrees awarded from July 1, 2023 to June 30, 2024 B3 Certificate/diploma B3 Associate's degrees B3 Bachelor's degrees 2,634 B3 Post-bachelor's certificates B3 Master's degrees 4,473 B3 Post-Master's certificates B3 Doctoral degrees – research/scholarship 595 B3 Doctoral degrees – profe"
2024-2025,B,B11,),"B11) Recipients of Recipients of Students who Total a Federal a Subsidized did not receive (sum of 3 Pell Grant Stafford Loan who either a Pell Grant columms Fall 2018 Cohort did not receive a or a subsidized to the left) Pell Grant Stafford Loan Initial 2018 cohort of first-time, full-time, bachelo"
2024-2025,B,B22,For the cohort of all full-time bachelor’s (or equivalent) degree-seeking undergraduate students who entered your institution as,"B22 For the cohort of all full-time bachelor’s (or equivalent) degree-seeking undergraduate students who entered your institution as freshmen in Fall 2023 (or the preceding summer term), what percentage was enrolled at your institution as of the date your 98.8% institution calculates its official en"
2024-2025,C,C1,"First-time, first-year (freshman) students: Provide the number of degree-seeking, first-time, first-year (freshmen) students who applied, were","C1 First-time, first-year (freshman) students: Provide the number of degree-seeking, first-time, first-year (freshmen) students who applied, were admitted, and enrolled (full- or part-time) in Fall 2024 Include early decision, early action, and students who began studies during summer in this cohort"
2024-2025,C,C2,Freshman wait-listed students (students who met admission requirements but whose final admission was contingent on space availability),"C2 Freshman wait-listed students (students who met admission requirements but whose final admission was contingent on space availability) Yes No C2 Do you have a policy of placing students on a waiting list? x C2 If yes, please answer the questions below for Fall 2024 admissions: C2 Number of qualif"
2024-2025,C,C3,High school completion requirement,C3 High school completion requirement C3 High school diploma is required and GED is accepted x C3 High school diploma is required and GED is not accepted C3 High school diploma or equivalent is not required
