year,category,male,female,unknown
2024-2025,grand_total,24023,,
2023-2024,grand_total,23790,,
2022-2023,total_graduate,13614,,
2022-2023,grand_total,23374,,
2021-2022,total_undergraduates,9962,,
2021-2022,total_graduate,13469,,
2021-2022,grand_total,23431,,
2020-2021,total_graduate,12564,,
2020-2021,grand_total,22436,,
2019-2020,total_graduate,12413,,
2019-2020,grand_total,22432,,
2018-2019,total_graduate,12193,,
2018-2019,grand_total,22376,,
2017-2018,total_graduate,11874,,
2017-2018,grand_total,21907,,
2016-2017,total_graduate,11807,,
2016-2017,grand_total,21826,,
2015-2016,total_undergraduates,9726,,
2015-2016,total_graduate,11669,,
2015-2016,grand_total,21395,,
2014-2015,total_undergraduates,9746,,
2014-2015,total_graduate,11550,,
2014-2015,grand_total,21296,,
2013-2014,total_undergraduates,9712,,
2013-2014,total_graduate,11646,,
2013-2014,grand_total,21358,,
2012-2013,total_undergraduates,9682,,
2012-2013,total_graduate,11657,,
2012-2013,grand_total,21339,,
2011-2012,total_undergraduates,9779,,
2011-2012,total_graduate,10140,,
2011-2012,grand_total,19919,,
2010-2011,total_undergraduates,9865,,
2010-2011,total_graduate,9977,,
2010-2011,grand_total,19842,,
2009-2010,total_undergraduates,9768,,
2009-2010,total_graduate,9543,,
2009-2010,grand_total,19311,,
