year,metric,value
2024-2025,student_faculty_ratio,8:1
2024-2025,total_instructional_faculty,1920
2023-2024,student_faculty_ratio,8:1
2023-2024,total_instructional_faculty,1913
2022-2023,student_faculty_ratio,8:1
2022-2023,total_instructional_faculty,1875
2021-2022,student_faculty_ratio,7:1
2021-2022,total_instructional_faculty,1847
2020-2021,student_faculty_ratio,6:1
2020-2021,total_instructional_faculty,1910
2019-2020,student_faculty_ratio,6:1
2019-2020,total_instructional_faculty,1960
2018-2019,student_faculty_ratio,6:1
2018-2019,total_instructional_faculty,2039
2017-2018,student_faculty_ratio,6:1
2017-2018,total_instructional_faculty,2028
2016-2017,student_faculty_ratio,6:1
2016-2017,total_instructional_faculty,2150
2015-2016,student_faculty_ratio,6:1
2015-2016,total_instructional_faculty,2085
2014-2015,student_faculty_ratio,6:1
2014-2015,total_instructional_faculty,2048
2013-2014,student_faculty_ratio,6:1
2013-2014,total_instructional_faculty,2248
2012-2013,student_faculty_ratio,6:1
2012-2013,total_instructional_faculty,2250
2011-2012,student_faculty_ratio,6:1
2011-2012,total_instructional_faculty,2196
2010-2011,student_faculty_ratio,6:1
2010-2011,total_instructional_faculty,2161
2009-2010,student_faculty_ratio,6:1
2009-2010,total_instructional_faculty,2200
