year,metric,value
2024-2025,rate_6yr_pct,92.7
2024-2025,freshman_retention_rate_pct,98.8
2023-2024,rate_6yr_pct,95.0
2023-2024,freshman_retention_rate_pct,98.1
2022-2023,rate_6yr_pct,92.7
2022-2023,freshman_retention_rate_pct,98.4
2021-2022,rate_6yr_pct,95.4
2021-2022,freshman_retention_rate_pct,97.7
2020-2021,rate_6yr_pct,92.1
2020-2021,freshman_retention_rate_pct,95.0
2019-2020,rate_6yr_pct,92.4
2019-2020,freshman_retention_rate_pct,98.1
2018-2019,rate_6yr_pct,93.7
2018-2019,freshman_retention_rate_pct,98.3
2017-2018,rate_6yr_pct,91.0
2017-2018,freshman_retention_rate_pct,97.7
2016-2017,rate_6yr_pct,95.0
2016-2017,freshman_retention_rate_pct,98.0
2015-2016,rate_6yr_pct,95.0
2015-2016,freshman_retention_rate_pct,98.0
2014-2015,rate_6yr_pct,96.0
2014-2015,freshman_retention_rate_pct,97.0
2013-2014,rate_6yr_pct,96.0
2013-2014,freshman_retention_rate_pct,98.0
2012-2013,rate_6yr_pct,95.8
2012-2013,freshman_retention_rate_pct,98.1
2011-2012,rate_6yr_pct,96.0
2011-2012,freshman_retention_rate_pct,97.0
2010-2011,rate_6yr_pct,95.0
2010-2011,freshman_retention_rate_pct,99.0
2009-2010,rate_6yr_pct,95.0
2009-2010,freshman_retention_rate_pct,98.0
