year,expense,amount
2024-2025,tuition_first_year,6320
2024-2025,tuition_out_of_state,8032
2024-2025,room_and_board,1080
2023-2024,tuition_first_year,6092
2023-2024,tuition_out_of_state,7766
2023-2024,room_and_board,1062
2022-2023,tuition_first_year,5862
2022-2023,tuition_out_of_state,7484
2022-2023,room_and_board,1062
2021-2022,tuition_first_year,5621
2021-2022,tuition_out_of_state,7240
2020-2021,tuition_first_year,5465
2020-2021,tuition_out_of_state,7058
2019-2020,tuition_first_year,5316
2019-2020,tuition_out_of_state,6876
2018-2019,tuition_first_year,5115
2018-2019,room_and_board,922
2017-2018,tuition_first_year,4922
2017-2018,room_and_board,895
2016-2017,tuition_first_year,4741
2016-2017,tuition_in_state,1513
2016-2017,room_and_board,869
2015-2016,tuition_first_year,45556
2015-2016,tuition_in_state,1454
2015-2016,tuition_out_of_state,45556
2015-2016,room_and_board,9450
2014-2015,tuition_first_year,43838
2014-2015,tuition_in_state,1399
2014-2015,tuition_out_of_state,43838
2014-2015,room_and_board,9060
2013-2014,tuition_in_state,1296
2013-2014,tuition_out_of_state,1296
2013-2014,room_and_board,8330
2012-2013,tuition_nonresident,39088
2012-2013,required_fees,4650
2012-2013,room_only,7952
2012-2013,board_only,4416
2012-2013,room_and_board,12368
2012-2013,books_supplies,1210
2012-2013,transportation,2284
2012-2013,other_expenses,2284
2011-2012,required_fees,4650
2011-2012,room_only,7952
2011-2012,board_only,4416
2011-2012,room_and_board,12368
2011-2012,books_supplies,1210
2011-2012,transportation,2284
2011-2012,other_expenses,2284
2009-2010,tuition_nonresident,36208
2009-2010,required_fees,4306
2009-2010,room_only,7249
2009-2010,board_only,4182
2009-2010,room_and_board,11430
2009-2010,books_supplies,1120
2009-2010,transportation,550
2009-2010,other_expenses,2186
