year,expense,amount
2022-2023,tuition_first_year,19286.0
2022-2023,tuition_in_state,19286.0
2022-2023,tuition_out_of_state,38102.0
2022-2023,tuition_nonresident,1588.0
2022-2023,required_fees,549.48
2022-2023,room_only,7374.0
2022-2023,board_only,5610.0
2022-2023,room_and_board,12984.0
2022-2023,books_supplies,1840.0
2022-2023,transportation,1566.0
2022-2023,other_expenses,3222.0
2019-2020,tuition_first_year,17920.0
2019-2020,tuition_in_state,17920.0
2019-2020,tuition_out_of_state,3498
2019-2020,tuition_nonresident,34984.0
2019-2020,required_fees,530.0
2019-2020,room_only,5640.0
2019-2020,board_only,4952.0
2019-2020,room_and_board,10592.0
2019-2020,books_supplies,1840.0
2019-2020,transportation,1566.0
2019-2020,other_expenses,3222.0
