year,metric,sex,value
2025-2026,applied,male,27732
2025-2026,applied,female,36992
2025-2026,admitted,male,15646
2025-2026,admitted,female,22831
2025-2026,admitted,unknown,13
2025-2026,enrolled,male,2335
2025-2026,enrolled,female,3541
2024-2025,applied,male,26607
2024-2025,applied,female,34291
2024-2025,admitted,male,14766
2024-2025,admitted,female,20606
2024-2025,enrolled,male,1902
2024-2025,enrolled,female,2694
2019-2020,applied,male,14485
2019-2020,applied,female,17606
2019-2020,admitted,male,7872
2019-2020,admitted,female,10308
2019-2020,enrolled,male,1746
2019-2020,enrolled,female,2280
