year,category,male,female,unknown
2025-2026,undergrad_total,8888,12500,
2025-2026,graduate_FT_total,3025,4535,
2025-2026,graduate_PT_total,957,1332,
2025-2026,graduate_total,3982,5867,
2025-2026,total_FT_students,11646,16647,
2025-2026,total_PT_students,1224,1720,
2025-2026,total_undergraduates,21388,,
2025-2026,total_graduate,9849,,
2025-2026,grand_total,31237,,
2024-2025,undergrad_FT_total,8294,,
2024-2025,undergrad_PT_total,285,,
2024-2025,undergrad_total,8579,,
2024-2025,graduate_FT_total,3014,,
2024-2025,graduate_PT_total,737,,
2024-2025,graduate_total,3751,,
2024-2025,total_undergraduates,20418,,
2024-2025,total_graduate,9509,,
2024-2025,grand_total,29927,,
2024-2025,FT_first_time_first_year,1898,,
2019-2020,total_undergraduates,19200,,
2019-2020,total_graduate,9191,,
2019-2020,grand_total,28391,,
