year,metric,sex,value
2025-2026,applied,male,21692
2025-2026,applied,female,20593
2025-2026,applied,unknown,18
2025-2026,admitted,male,915
2025-2026,admitted,female,953
2025-2026,admitted,unknown,0
2025-2026,enrolled,male,690
2025-2026,enrolled,female,718
2025-2026,enrolled,unknown,0
2024-2025,applied,male,20563
2024-2025,applied,female,19883
2024-2025,admitted,male,903
2024-2025,admitted,female,965
2024-2025,enrolled,male,693
2024-2025,enrolled,female,717
2023-2024,applied,male,19541
2023-2024,applied,female,20103
2023-2024,admitted,male,870
2023-2024,admitted,female,912
2023-2024,enrolled,male,670
2023-2024,enrolled,female,696
2017-2018,applied,male,16098
2017-2018,applied,female,14958
2017-2018,admitted,male,994
2017-2018,admitted,female,996
2017-2018,enrolled,male,648
2017-2018,enrolled,female,658
2010-2011,applied,male,13430
2010-2011,applied,female,12817
2010-2011,admitted,male,1172
2010-2011,admitted,female,1139
2010-2011,enrolled,male,662
2010-2011,enrolled,female,650
