year,section,field,label,raw_preview
2025-2026,A,A0,Respondent Information (Not for Publication),A0 Respondent Information (Not for Publication) First Name: La Reina Last Name: Bates Title: Institutional Research Analyst Office: Office of the Provost Address Line 1: 221 Nassau Hall Address Line 2: Princeton University Address Line 3: City: Princeton State NJ Zipcode 08544 Country: Phone: 609-25
2025-2026,A,A0A,,"A0A methodology is unclear, or about which you have questions or comments in general. This information will not be published but will help the publishers further refine CDS items."
2025-2026,A,A1,Address Information,A1 Address Information Name of College/University: Princeton University Street Address Line 1: Street Address Line 2: Street Address Line 3: City Princeton State NJ Zip 08544 Country: Main Phone Number (Area Code) 609 Main Phone Number: 258-3000 Main Phone Number (Ext): WWW Home Page Address: www.pr
2025-2026,A,A2,Source of institutional control (Check only one):,A2 Source of institutional control (Check only one): Public X Private (nonprofit) Proprietary
2025-2026,A,A3,Classify your undergraduate institution:,A3 Classify your undergraduate institution: X Coeducational college Men's college Women's college
2025-2026,A,A4,Academic year calendar:,A4 Academic year calendar: X Semester Quarter Trimester 4-1-4 Continuous Differs by program (describe): Other (describe):
2025-2026,A,A5,Degrees offered by your institution:,A5 Degrees offered by your institution: Certificate Diploma Associate Transfer Associate Terminal Associate X Bachelor's Postbachelor's certificate X Master's Post-master's certificate X Doctoral degree research/scholarship Doctoral degree – professional practice Doctoral degree -- other $A$5Doctora
2025-2026,A,A6,Campus Belonging Webpage,"A6 Campus Belonging Webpage If your institution has an office or department dedicated to fostering a welcoming and supportive campus climate for individuals from all backgrounds, please provide the URL of the corresponding Web page: https://provost.princeton.edu/what-we-do/institutional-equity-diver"
2025-2026,B,B1,Institutional Enrollment - Males and Females,"B1 Institutional Enrollment - Males and Females Provide numbers of students for each of the following categories as of the institution's official fall reporting date or as of October 15, 2025. • Note: Report students formerly designated as “first professional” in the graduate cells. • For informatio"
2025-2026,B,B2,Enrollment by Racial/Ethnic Category.,"B2 Enrollment by Racial/Ethnic Category. Provide numbers of undergraduate students for each of the following categories as of the institution’s official fall reporting date or as of October 15, 2025. • Include international students only in the category ""Nonresidents."" • Complete the “Total Undergra"
2025-2026,B,B3,"Number of degrees awarded by your institution from July 1, 2024, to June 30, 2025.","B3 Number of degrees awarded by your institution from July 1, 2024, to June 30, 2025. Certificate/diploma Associate degrees Bachelor's degrees 1337 Postbachelor's certificates Master's degrees 653 Post-Master's certificates Doctoral degrees – research/scholarship 463 Doctoral degrees – professional "
2025-2026,B,B4,-B21: Graduation Rates,"B4-B21: Graduation Rates The items in this section correspond to data elements collected by the IPEDS Web-based Data Collection System’s Graduation Rate Survey (GRS). • For complete instructions and definitions of data elements, see the IPEDS GRS Forms and Instructions for the 2025-2026 Survey. http"
2025-2026,B,B12,"Initial cohort, total of first-time, full-time degree/certificate-seeking students:","B12 Initial cohort, total of first-time, full-time degree/certificate-seeking students: Of the initial cohort, how many did not persist and did not graduate for the following reasons: • Death • Permanently Disability"
2025-2026,B,B13,"• Service in the armed forces,","B13 • Service in the armed forces, • Foreign aid service of the federal government • Official church missions • Report total allowable exclusions"
2025-2026,B,B14,"Final cohort, after adjusting for allowable exclusions:                                                                                            0                 0","B14 Final cohort, after adjusting for allowable exclusions: 0 0"
2025-2026,B,B15,Completers of programs of less than two years duration (total):,B15 Completers of programs of less than two years duration (total): CDS-B Page 6
2025-2026,B,B16,Completers of programs of less than two years within 150 percent of normal time:,B16 Completers of programs of less than two years within 150 percent of normal time:
2025-2026,B,B17,Completers of programs of at least two but less than four years (total):,B17 Completers of programs of at least two but less than four years (total):
2025-2026,B,B18,Completers of programs of at least two but less than four-years within 150 percent of normal time:,B18 Completers of programs of at least two but less than four-years within 150 percent of normal time:
2025-2026,B,B19,Total transfers-out (within three years) to other institutions:,B19 Total transfers-out (within three years) to other institutions:
2025-2026,B,B20,Total transfers to two-year institutions:,B20 Total transfers to two-year institutions:
2025-2026,B,B21,Total transfers to four-year institutions:,B21 Total transfers to four-year institutions:
2025-2026,B,B22,. Retention Rates,"B22. Retention Rates Report for the cohort of all full-time, first-time bachelor’s (or equivalent) degree-seeking undergraduate students who entered in Fall 2024 (or the preceding summer term). • The initial cohort may be adjusted for students who departed for the following reasons: * Death * Perman"
2025-2026,C,C1,-C2: Applications,"C1-C2: Applications First-time, first-year students: Provide the number of degree-seeking, first-time, first-year students who applied, C1 were admitted, and enrolled (full- or part-time) in Fall 2025. • Include early decision, early action, and students who began studies during summer in this cohor"
2025-2026,C,C2,"First-time, first-year wait-listed students","C2 First-time, first-year wait-listed students Students who met admission requirements but whose final admission was contingent on space availability Yes or No Do you have a policy of placing students on a waiting list? Yes If yes, please answer the questions below for Fall 2025 admissions: WAITING "
2025-2026,C,C3,-C5: Admission Requirements,C3-C5: Admission Requirements C3 High school completion requirement Check the appropriate box to identify your high school completion requirement for degree-seeking entering X High school diploma is required and GED is accepted High school diploma is required and GED is not accepted High school dipl
2025-2026,C,C4,,C4 students? Require X Recommend Neither require nor recommend Distribution of high school units required and/or recommended. Specify the distribution of academic high school course units required and/or recommended of all or most degree-seeking students using Carnegie units
2025-2026,C,C5,,"C5 (one unit equals one year of study or its equivalent). If you use a different system for calculating units, please convert. Units Units Distribution of high school units Required Recommended Total academic units 21 English 4 Mathematics 4 Science 4 Of these, units that must be lab 2 Foreign langu"
2025-2026,C,C6,-C7: Basis for Selection,"C6-C7: Basis for Selection C6 Do you have an open admission policy, under which virtually all secondary school graduates or students with No Open admission policy as described above for all students Open admission policy as described above for most students, but-- selective admission for out-of-stat"
2025-2026,C,C7,"Relative importance of each of the following academic and nonacademic factors in your first-time, first-","C7 Relative importance of each of the following academic and nonacademic factors in your first-time, first- Academic Very Important Important Considered Not Considered Rigor of secondary school record X Class rank X Academic GPA X Standardized test scores X Application Essay X Recommendation(s) X No"
2025-2026,C,C8,: SAT and ACT Policies,C8: SAT and ACT Policies Entrance exams Yes or No
2025-2026,C,C8A,Does your institution make use of SAT or ACT scores in admission                          Yes,"C8A Does your institution make use of SAT or ACT scores in admission Yes If yes, place check marks in the appropriate boxes below to reflect your institution’s policies for use in admission for students applying for Fall 2027. Not Not required for Required to be considered for admission, but Admissi"
2025-2026,C,C8B,Has been removed from the CDS.,C8B Has been removed from the CDS.
