year,category,male,female,unknown
2025-2026,undergrad_FT_total,2889,2936,0
2025-2026,undergrad_PT_total,48,40,3
2025-2026,undergrad_total,2937,2976,3
2025-2026,graduate_FT_total,1885,1477,1
2025-2026,graduate_PT_total,1,1,0
2025-2026,graduate_total,1886,1478,1
2025-2026,total_FT_students,4774,4413,1
2025-2026,total_PT_students,49,41,3
2025-2026,total_undergraduates,5916,,
2025-2026,total_graduate,3365,,
2025-2026,grand_total,9281,,
2024-2025,undergrad_FT_total,2845,2881,0
2024-2025,undergrad_PT_total,48,37,0
2024-2025,undergrad_total,2893,2918,0
2024-2025,graduate_FT_total,1857,1459,0
2024-2025,graduate_PT_total,2,1,0
2024-2025,graduate_total,1859,1460,0
2024-2025,total_undergraduates,5813,,
2024-2025,total_graduate,3324,,
2024-2025,grand_total,9137,,
2023-2024,undergrad_FT_total,2759,2839,0
2023-2024,undergrad_PT_total,34,35,4
2023-2024,undergrad_total,2793,2874,4
2023-2024,graduate_FT_total,1830,1420,1
2023-2024,graduate_PT_total,0,0,0
2023-2024,graduate_total,1830,1420,1
2023-2024,total_undergraduates,5671,,
2023-2024,total_graduate,3251,,
2023-2024,grand_total,8922,,
2017-2018,total_undergraduates,5394,,
2017-2018,total_graduate,2879,,
2017-2018,grand_total,8273,,
2010-2011,total_undergraduates,5220,,
2010-2011,total_graduate,2582,,
2010-2011,grand_total,7802,,
