year,metric,value
2025-2026,avg_need_based_grant_award,79320
2025-2026,avg_need_based_loan,2793
2025-2026,avg_financial_aid_package,79320
2024-2025,avg_need_based_grant_award,71237
2024-2025,avg_need_based_loan,2942
2024-2025,avg_financial_aid_package,71237
2023-2024,avg_need_based_grant_award,70246
2023-2024,avg_need_based_loan,2502
2023-2024,avg_financial_aid_package,70246
2017-2018,avg_need_based_grant_award,52800
2017-2018,avg_financial_aid_package,54310
2010-2011,avg_need_based_grant_award,35713
2010-2011,avg_financial_aid_package,36912
2010-2011,avg_per_borrower_cumulative_debt,5225
