year,expense,amount
2024-2025,tuition_first_year,65210
2024-2025,tuition_out_of_state,300
2024-2025,required_fees,300
2024-2025,food_and_housing,21170
2024-2025,housing_only,12450
2024-2025,food_only,8720
2024-2025,books_supplies,1050
2024-2025,transportation,950
2024-2025,other_expenses,3000
2023-2024,tuition_first_year,62400
2023-2024,required_fees,20250
2023-2024,food_and_housing,20250
2023-2024,housing_only,11910
2023-2024,food_only,8340
2023-2024,books_supplies,1050
2023-2024,transportation,900
2023-2024,other_expenses,3000
2017-2018,tuition_first_year,47140
2017-2018,room_and_board,15610
