year,section,field,label,raw_preview
2024-2025,A,A1,Address Information,"A1 Address Information Name of College/University: William Marsh Rice University Mailing Address: P.O. Box 1892 City/State/Zip/Country: Houston, TX 77251-1892 Street Address (if different): 6100 Main Street City/State/Zip/Country: Houston, TX 77005 Main Phone Number: 713-348-0000 WWW Home Page Addre"
2024-2025,A,A2,Source of institutional control (Check only one):,A2 Source of institutional control (Check only one): Public X Private (nonprofit) Proprietary
2024-2025,A,A3,Classify your undergraduate institution:,A3 Classify your undergraduate institution: X Coeducational college Men's college Women's college
2024-2025,A,A4,Academic year calendar:,A4 Academic year calendar: X Semester Quarter Trimester 4-1-4 Continuous Differs by program (describe): Other (describe): CDS-A Page 1 Rice University
2024-2025,A,A5,Degrees offered by your institution:,A5 Degrees offered by your institution: Certificate Diploma Associate Transfer Associate Terminal Associate X Bachelor's X Postbachelor's certificate X Master's X Post-master's certificate X Doctoral degree research/scholarship Doctoral degree – professional practice Doctoral degree -- other A5 Doct
2024-2025,A,A6,"Diversity, Equity, and Inclusion","A6 Diversity, Equity, and Inclusion If you have a diversity, equity, and inclusion office or department, please provide the URL of the corresponding Web page: CDS-A Page 2 Rice University"
2024-2025,B,B1,Institutional Enrollment - Men and Women,"B1 Institutional Enrollment - Men and Women Provide numbers of students for each of the following categories as of the institution's official fall reporting date or as of October 15, 2024. • Note: Report students formerly designated as “first professional” in the graduate cells. • For information on"
2024-2025,B,B2,Enrollment by Racial/Ethnic Category.,"B2 Enrollment by Racial/Ethnic Category. Provide numbers of undergraduate students for each of the following categories as of the institution’s official fall reporting date or as of October 15, 2024. • Include international students only in the category ""Nonresidents."" • Complete the “Total Undergra"
2024-2025,B,B3,"Number of degrees awarded by your institution from July 1, 2023, to June 30, 2024.","B3 Number of degrees awarded by your institution from July 1, 2023, to June 30, 2024. Degrees Certificate/diploma Associate degrees Bachelor's degrees 1069 Postbachelor's certificates Master's degrees 1237 Post-Master's certificates Doctoral degrees – research/scholarship 267 Doctoral degrees – prof"
2024-2025,B,B4,-B21: Graduation Rates,"B4-B21: Graduation Rates The items in this section correspond to data elements collected by the IPEDS Web-based Data Collection System’s Graduation Rate Survey (GRS). • For complete instructions and definitions of data elements, see the IPEDS GRS Forms and Instructions for the 2024-2025 Survey. http"
2024-2025,B,B12,"Initial cohort, total of first-time, full-time degree/certificate-seeking students:","B12 Initial cohort, total of first-time, full-time degree/certificate-seeking students:"
2024-2025,B,B13,"Of the initial cohort, how many did not persist and did not graduate for the following","B13 Of the initial cohort, how many did not persist and did not graduate for the following reasons: • Death • Permanently Disability • Service in the armed forces, • Foreign aid service of the federal government • Official church missions • Report total allowable exclusions"
2024-2025,B,B14,"Final cohort, after adjusting for allowable exclusions:                                                         0                  0","B14 Final cohort, after adjusting for allowable exclusions: 0 0"
2024-2025,B,B15,Completers of programs of less than two years duration (total):,B15 Completers of programs of less than two years duration (total):
2024-2025,B,B16,Completers of programs of less than two years within 150 percent of normal time:,B16 Completers of programs of less than two years within 150 percent of normal time:
2024-2025,B,B17,Completers of programs of at least two but less than four years (total):,B17 Completers of programs of at least two but less than four years (total):
2024-2025,B,B18,Completers of programs of at least two but less than four-years within 150 percent of,B18 Completers of programs of at least two but less than four-years within 150 percent of normal time:
2024-2025,B,B19,Total transfers-out (within three years) to other institutions:,B19 Total transfers-out (within three years) to other institutions:
2024-2025,B,B20,Total transfers to two-year institutions:,B20 Total transfers to two-year institutions:
2024-2025,B,B21,Total transfers to four-year institutions:,B21 Total transfers to four-year institutions:
2024-2025,B,B22,. Retention Rates,"B22. Retention Rates Report for the cohort of all full-time, first-time bachelor’s (or equivalent) degree-seeking undergraduate students who entered in Fall 2023 (or the preceding summer term). • The initial cohort may be adjusted for students who departed for the following reasons: * Death * Perman"
2024-2025,C,C1,-C2: Applications,"C1-C2: Applications C1 First-time, first-year students: Provide the number of degree-seeking, first-time, first-year students who applied, were admitted, and enrolled (full- or part-time) in Fall 2024. • Include early decision, early action, and students who began studies during summer in this cohor"
2024-2025,C,C2,"First-time, first-year wait-listed students","C2 First-time, first-year wait-listed students Students who met admission requirements but whose final admission was contingent on space availability Yes No Do you have a policy of placing students on a waiting list? X If yes, please answer the questions below for Fall 2024 admissions: WAITING LIST "
2024-2025,C,C3,-C5: Admission Requirements,C3-C5: Admission Requirements C3 High school completion requirement Check the appropriate box to identify your high school completion requirement for degree-seeking entering students: X High school diploma is required and GED is accepted High school diploma is required and GED is not accepted High s
2024-2025,C,C4,Does your institution require or recommend a general college-preparatory program for degree-seeking students?,C4 Does your institution require or recommend a general college-preparatory program for degree-seeking students? Require X Recommend Neither require nor recommend
2024-2025,C,C5,Distribution of high school units required and/or recommended. Specify the distribution of academic high school course,C5 Distribution of high school units required and/or recommended. Specify the distribution of academic high school course units required and/or recommended of all or most degree-seeking students using Carnegie units (one unit equals one year of study or its equivalent). If you use a different system
2024-2025,C,C6,-C7: Basis for Selection,"C6-C7: Basis for Selection C6 Do you have an open admission policy, under which virtually all secondary school graduates or students with GED equivalency diplomas are admitted without regard to academic record, test scores, or other qualifications? If so, check which No applies: Open admission polic"
2024-2025,C,C7,"Relative importance of each of the following academic and nonacademic factors in your first-time, first-year, degree-","C7 Relative importance of each of the following academic and nonacademic factors in your first-time, first-year, degree- seeking general (not including programs with specific criteria) admissions decisions. Academic Very Important Important Considered Not Considered Rigor of secondary school record "
2024-2025,C,C8,: SAT and ACT Policies,"C8: SAT and ACT Policies Entrance exams Yes No Does your institution make use of SAT or ACT scores in admission decisions for first- time, first-year, degree-seeking applicants? X If yes, place check marks in the appropriate boxes below to reflect your institution’s policies for use in admission for"
2024-2025,C,C8A,,"C8A Fall 2026. Not Not required for considered Required to be Required for admission, but for Admission considered for Recommended some considered if admission, admission submitted even if submitted SAT or ACT X ACT Only SAT Only"
2024-2025,C,C8B,Has been removed from the CDS.,C8B Has been removed from the CDS.
2024-2025,C,C8C,Has been removed from the CDS.,C8C Has been removed from the CDS.
2024-2025,C,C8D,"In addition, does your institution use applicants' test scores for academic advising?","C8D In addition, does your institution use applicants' test scores for academic advising? X Yes No"
2024-2025,C,C8E,Latest date by which SAT or ACT scores must be received for fall-term admission                                        31-Dec,C8E Latest date by which SAT or ACT scores must be received for fall-term admission 31-Dec
2024-2025,C,C8F,"If necessary, use this space to clarify your test policies (e.g., if tests   Rice recommends first-year and transfer student","C8F If necessary, use this space to clarify your test policies (e.g., if tests Rice recommends first-year and transfer student are recommended for some students, or if tests are not required of applicants to undergraduate degree-seeking some students due to differences by academic program, student p"
2024-2025,C,C8G,"Please indicate which tests your institution uses for placement (e.g., state tests):","C8G Please indicate which tests your institution uses for placement (e.g., state tests): SAT ACT X AP CLEP X Institutional Exam State Exam (specify):"
2024-2025,C,C9,"-C12: First-time, first-year Profile","C9-C12: First-time, first-year Profile Provide information for ALL enrolled, degree-seeking, full-time and part-time, first-time, first-year students enrolled in Fall 2024, including students who began studies during summer, international students/nonresidents, and students admitted under special ar"
2024-2025,C,C10,"Percent of all degree-seeking, first-time, first-year students who had high school class rank within each of the","C10 Percent of all degree-seeking, first-time, first-year students who had high school class rank within each of the following ranges (report information for those students from whom you collected high school rank information) Assessment Percent Percent in top tenth of high school graduating class 8"
2024-2025,C,C11,"Percentage of all enrolled, degree-seeking, first-time, first-year students who had high school grade-point averages","C11 Percentage of all enrolled, degree-seeking, first-time, first-year students who had high school grade-point averages within each of the following ranges (using 4.0 scale). * Report information only for those students from whom you collected high school GPA. * If you are able to report GPA ranges"
2024-2025,C,C12,"Average high school GPA of all degree-seeking, first-time, first-year students who","C12 Average high school GPA of all degree-seeking, first-time, first-year students who submitted GPA: NA Percent of total first-time, first-year students who submitted high school GPA: CDS-C Page 15 Rice University"
2024-2025,C,C13,-C20: Admission Policies,C13-C20: Admission Policies C13 Application Fee If your institution has waived its application fee for the Fall 2026 admission cycle please select no. Yes No Does your institution have an application fee? X Amount of application fee: $75 Yes No Can it be waived for applicants with financial need? X 
2024-2025,C,C14,Application closing date,C14 Application closing date Yes No Does your institution have an application closing date? X Date Application closing date (fall) 4-Jan Priority Date Yes No
2024-2025,C,C15,"Are first-time, first-year students accepted for terms other than the fall?","C15 Are first-time, first-year students accepted for terms other than the fall? X"
2024-2025,C,C16,Notification to applicants of admission decision sent (fill in one only),C16 Notification to applicants of admission decision sent (fill in one only) On a rolling basis beginning (date): X By (date): 1-Apr Other:
2024-2025,C,C17,Reply policy for admitted applicants (fill in one only),"C17 Reply policy for admitted applicants (fill in one only) X Must reply by (date): 1-May No set date X Must reply by May 1st or within 1 weeks if notified thereafter Other: Deadline for housing deposit (MMDD): Amount of housing deposit: Refundable if student does not enroll? Yes, in full Yes, in pa"
2024-2025,C,C18,Deferred admission,"C18 Deferred admission Yes No Does your institution allow students to postpone enrollment after admission? X If yes, maximum period of postponement: 2 years"
2024-2025,C,C19,Early admission of high school students,"C19 Early admission of high school students Yes No Does your institution allow high school students to enroll as full-time, first-time, first- year students one year or more before high school graduation? X"
2024-2025,C,C20,Common Application: Question removed from CDS. (Initiated during 2006-2007 cycle),C20 Common Application: Question removed from CDS. (Initiated during 2006-2007 cycle)
2024-2025,C,C21,-C22: Early Decision and Early Action Plans,C21-C22: Early Decision and Early Action Plans C21 Early Decision Yes No Does your institution offer an early decision plan (an admission plan that permits students to apply and be notified of an admission decision well in advance of the regular notification date and that asks students to commit to 
2024-2025,C,C22,Early action,"C22 Early action Yes No Do you have a nonbinding early action plan whereby students are notified of an admission decision well in advance of the regular notification date but do not have to X commit to attending your college? If “yes,” please complete the following: Early action closing date Early a"
2024-2025,D,D1,-D2: Fall Applicants,"D1-D2: Fall Applicants Yes No D1 Does your institution enroll transfer students? (If no, please skip to Section E) X If yes, may transfer students earn advanced standing credit by transferring credits earned from course work completed at X other colleges/universities?"
2024-2025,D,D2,"Provide the number of students who applied, were admitted, and enrolled as degree-seeking transfer students in Fall 2024.","D2 Provide the number of students who applied, were admitted, and enrolled as degree-seeking transfer students in Fall 2024. If your institution collects and reports non-binary gender data, please use the ""Another Gender"" category. Admitted Enrolled Transfer Admission Applicants Applicants Applicant"
2024-2025,D,D3,-D11: Application for Admission,D3-D11: Application for Admission D3 Indicate terms for which transfers may enroll: X Fall Winter X Spring Summer Yes No
2024-2025,D,D4,Must a transfer applicant have a minimum number of credits,"D4 Must a transfer applicant have a minimum number of credits completed or else must apply as an entering first-year X student? If yes, what is the minimum number of credits and the unit of 12 Credit Hours measure?"
2024-2025,D,D5,Indicate all items required of transfer students to apply for admission:,D5 Indicate all items required of transfer students to apply for admission: Required of Recommended Recommended Requirements Required of Some Not Required All of All of Some High school transcript X College transcript(s) X Essay or personal X Interview X Standardized test scores X Statement of good 
2024-2025,D,D6,If a minimum high school grade point average is required of,"D6 If a minimum high school grade point average is required of transfer applicants, specify (on a 4.0 scale): No"
