year,metric,sex,value
2023-2024,applied,male,20326
2023-2024,applied,female,23021
2023-2024,admitted,male,13052
2023-2024,admitted,female,15274
2023-2024,enrolled,male,3711
2023-2024,enrolled,female,3970
2022-2023,applied,male,19448
2022-2023,applied,female,22206
2022-2023,admitted,male,12593
2022-2023,admitted,female,15019
2022-2023,enrolled,male,3830
2022-2023,enrolled,female,3950
2012-2013,applied,male,22091
2012-2013,applied,female,24093
2012-2013,admitted,male,13301
2012-2013,admitted,female,14512
2012-2013,enrolled,male,3891
2012-2013,enrolled,female,3816
