year,section,field,label,raw_preview
2023-2024,A,A1,Address Information,"A1 Address Information A1 Name of College/University: RUTGERS UNIVERSITY – NEW BRUNSWICK A1 Mailing Address: 65 Davidson Road, Room #202 A1 City/State/Zip/Country: Piscataway, NJ 08854-8097 USA A1 Street Address (if different): A1 City/State/Zip/Country: A1 Main Phone Number: 848-445-1000 A1 WWW Hom"
2023-2024,A,A2,Source of institutional control (Check only one):,A2 Source of institutional control (Check only one): A2 Public X
2023-2024,A,A3,Classify your undergraduate institution:,A3 Classify your undergraduate institution: A3 Coeducational college X
2023-2024,A,A4,Academic year calendar:,A4 Academic year calendar: A4 Semester X
2023-2024,A,A5,Degrees offered by your institution:,A5 Degrees offered by your institution: A5 Certificate X A5 Diploma A5 Associate X A5 Transfer Associate A5 Terminal Associate A5 Bachelor's X A5 Postbachelor's certificate X A5 Master's X A5 Post-master's certificate X A5 Doctoral degree X research/scholarship A5 Doctoral degree – X professional pr
2023-2024,A,A6,"Diversity, Equity, and Inclusion","A6 Diversity, Equity, and Inclusion If you have a diversity, equity, and inclusion office or department, please provide the URL of the corresponding Web page: https://nbdiversity.rutgers.edu/ Rutgers University - New Brunswick - August 2024 Page 1 RUTGERS UNIVERSITY – NEW BRUNSWICK"
2023-2024,B,B1,Institutional Enrollment - Men and Women,"B1 Institutional Enrollment - Men and Women Provide numbers of students for each of the following categories as of the institution's official fall reporting date or as of October 6, 2023 B1 FULL-TIME PART-TIME B1 Men Women Men Women B1 Undergraduates B1 Degree-seeking, first-time 3,709 3,961 2 9 B1 "
2023-2024,B,B2,Enrollment by Racial/Ethnic Category. Provide numbers of undergraduate students for each of the,"B2 Enrollment by Racial/Ethnic Category. Provide numbers of undergraduate students for each of the following categories as of the institution's official fall reporting date or as of October 6, 2023 Include international students only in the category ""Nonresidents."" Complete the ""Total Undergraduates"
2023-2024,B,B3,"Number of degrees awarded from July 1, 2022 to June 30, 2023","B3 Number of degrees awarded from July 1, 2022 to June 30, 2023 B3 Certificate/diploma 6 B3 Associate degrees 32 B3 Bachelor's degrees 8,737 B3 Postbachelor's certificates 36 B3 Master's degrees 3,341 B3 Post-Master's certificates 46 B3 Doctoral degrees – research/scholarship 739 B3 Doctoral degrees"
2023-2024,B,B4,,"B4 bachelor's (or equivalent) degree seeking 1,644 1,167 3,230 6,041 undergraduate-students B- Of the initial 2017 cohort, how many did not Formerly persist and did not graduate for the following B4 bachelor's (or equivalent) degree seeking 1,682 1,210 3,349 6,241 undergraduate-students B- Of the in"
2023-2024,B,B5,"reasons: deceased, permanently disabled,","B5 reasons: deceased, permanently disabled, armed forces, foreign aid service of the federal 1 1 5 7 government, or official church missions; total allowable exclusions Formerly B5 reasons: deceased, permanently disabled, armed forces, foreign aid service of the federal 1 1 4 6 government, or offici"
2023-2024,B,B6,"C- Final 2017 cohort, after adjusting for","B6 C- Final 2017 cohort, after adjusting for allowable exclusions 1,643 1,166 3,225 6,034 Formerly D - Of the initial 2017 cohort, how many B6 C- Final 2016 cohort, after adjusting for allowable exclusions 1,681 1,209 3,345 6,235 Formerly D - Of the initial 2016 cohort, how many"
2023-2024,B,B7,,"B7 completed the program in four years or less 1,053 816 2,441 4,310 (by Aug. 31, 2021) Formerly E - Of the initial 2017 cohort, how many B7 completed the program in four years or less 1,048 847 2,478 4,373 (by Aug. 31, 2020) Formerly E - Of the initial 2016 cohort, how many"
2023-2024,B,B8,completed the program in more than four,"B8 completed the program in more than four years but in five years or less (after Aug. 231 123 327 681 31, 2021 and by Aug. 31, 2022) Formerly F - Of the initial 2017 cohort, how many B8 completed the program in more than four years but in five years or less (after Aug. 259 137 358 754 31, 2020 and "
2023-2024,B,B9,completed the program in more than five,"B9 completed the program in more than five years but in six years or less (after Aug. 31, 49 25 65 139 2022 and by Aug. 31, 2023) Formerly B9 completed the program in more than five years but in six years or less (after Aug. 31, 46 26 65 137 2021 and by Aug. 31, 2022) Formerly"
2023-2024,B,B10,G - Total graduating within six years (sum,"B10 G - Total graduating within six years (sum of lines D, E, and F) 1,333 964 2,833 5,130 Formerly B10 G - Total graduating within six years (sum of lines D, E, and F) 1,353 1,010 2,901 5,264 Formerly"
2023-2024,B,B11,H - Six-year graduation rate for 2017 cohort,B11 H - Six-year graduation rate for 2017 cohort (G divided by C) 81.1% 82.7% 87.8% 85.0% Rutgers University - New Brunswick - August 2024 Page 3 RUTGERS UNIVERSITY – NEW BRUNSWICK Fall 2016 Cohort Recipients of a Students who Subsidized did not receive Recipients of Total (sum of 3 Stafford Loan ei
2023-2024,B,B22,For the cohort of all full-time bachelor’s (or equivalent) degree-seeking undergraduate students who entered,"B22 For the cohort of all full-time bachelor’s (or equivalent) degree-seeking undergraduate students who entered your institution as freshmen in Fall 2022 (or the preceding summer term), what percentage was enrolled at your institution as of the date your institution calculates its official enrollme"
2023-2024,C,C1,"First-time, first-year, (freshmen) students: Provide the number of degree-seeking, first-time, first-year","C1 First-time, first-year, (freshmen) students: Provide the number of degree-seeking, first-time, first-year students who applied, were admitted, and enrolled (full- or part-time) in Fall 2023. Include early decision, early action, and students who began studies during summer in this cohort. Applica"
2023-2024,C,C2,"First-time, first-year wait-listed students","C2 First-time, first-year wait-listed students C2 Students who met admission requirements but whose final admission was contingent on space C2 Yes No C2 Do you have a policy of placing students on a waiting list? X C2 If yes, please answer the questions below for Fall 2023 admissions: C2 WAITING LIS"
2023-2024,C,C3,High school completion requirement,C3 High school completion requirement C3 High school diploma is required and GED is accepted X C3 High school diploma is required and GED is not accepted C3 High school diploma or equivalent is not required
2023-2024,C,C4,Does your institution require or recommend a general college-preparatory program for degree-seeking,C4 Does your institution require or recommend a general college-preparatory program for degree-seeking students? C4 Require X C4 Recommend C4 Neither require nor recommend Rutgers University - New Brunswick - August 2024 Page 5 RUTGERS UNIVERSITY – NEW BRUNSWICK
2023-2024,C,C5,Distribution of high school units required and/or recommended. Specify the distribution of academic high,C5 Distribution of high school units required and/or recommended. Specify the distribution of academic high school course units required and/or recommended of all or most degree-seeking students using Carnegie units (one unit equals one year of study or its equivalent). If you use a different system
2023-2024,C,C6,"Do you have an open admission policy, under which virtually all secondary school graduates or students with","C6 Do you have an open admission policy, under which virtually all secondary school graduates or students with GED equivalency diplomas are admitted without regard to academic record, test scores, or other qualifications? If so, check which applies: C6 Open admission policy as described above for al"
2023-2024,C,C7,"Relative importance of each of the following academic and nonacademic factors in first-time, first-year,","C7 Relative importance of each of the following academic and nonacademic factors in first-time, first-year, degree-seeking admission decisions. C7 Very Important Important Considered Not Considered C7 Academic C7 Rigor of secondary school X record C7 Class rank X C7 Academic GPA X C7 Standardized te"
2023-2024,C,C8,Entrance exams,C8 Entrance exams Yes No
2023-2024,C,C8A,Does your institution make use of SAT or ACT scores in admission,"C8A Does your institution make use of SAT or ACT scores in admission decisions for first-time, first-year, degree-seeking applicants? X C8A If yes, place check marks in the appropriate boxes below to reflect your institution’s policies for use in admission for Fall 2025. C8A ADMISSION C8A Not Not re"
2023-2024,C,C8B,Has been removed from the CDS.,C8B Has been removed from the CDS.
2023-2024,C,C8C,Has been removed from the CDS.,C8C Has been removed from the CDS.
2023-2024,C,C8D,"In addition, does your institution use applicants' test scores for academic advising?","C8D In addition, does your institution use applicants' test scores for academic advising? C8D Yes No X"
2023-2024,C,C8E,Latest date by which SAT or ACT scores must be received for fall-term                  DECEMBER OF SENIOR YEAR IS,C8E Latest date by which SAT or ACT scores must be received for fall-term DECEMBER OF SENIOR YEAR IS admission RECOMMENDED BUT NOT C8E REQUIRED
2023-2024,C,C8F,"If necessary, use this space to clarify your test policies (e.g., if tests are recommended for some students, or if","C8F If necessary, use this space to clarify your test policies (e.g., if tests are recommended for some students, or if tests are not required of some students due to differences by academic program, student academic background, or if other examinations may be considered in lieu of the SAT and ACT):"
2023-2024,C,C8G,"Please indicate which tests your institution uses for placement (e.g., state tests):","C8G Please indicate which tests your institution uses for placement (e.g., state tests): C8G SAT C8G ACT C8G AP C8G CLEP C8G Institutional Exam X C8G State Exam (specify): Rutgers University - New Brunswick - August 2024 Page 8 RUTGERS UNIVERSITY – NEW BRUNSWICK First-Time, First-Year Profile Provid"
2023-2024,C,C9,"Percent and number of first-time, first-year students enrolled in Fall 2023 who submitted national","C9 Percent and number of first-time, first-year students enrolled in Fall 2023 who submitted national standardized (SAT/ACT) test scores. Include information for ALL enrolled, degree-seeking, first-time, first-year students who submitted test scores. Do not include partial test scores (e.g., mathema"
2023-2024,C,C10,"Percent of all degree-seeking, first-time, first-year students who had high school class rank within each of the","C10 Percent of all degree-seeking, first-time, first-year students who had high school class rank within each of the following ranges (report information for those students from whom you collected high school rank information). C10 Percent in top tenth of high school graduating class 30% C10 Percent"
2023-2024,C,C11,"Percentage of all enrolled, degree-seeking, first-time, first-year students who had high school grade-point","C11 Percentage of all enrolled, degree-seeking, first-time, first-year students who had high school grade-point averages within each of the following ranges (using 4.0 scale). Report information only for those students from whom you collected high school GPA. If you are able to report GPA ranges sep"
2023-2024,C,C12,"Average high school GPA of all degree-seeking, first-time, first-year","C12 Average high school GPA of all degree-seeking, first-time, first-year students who submitted GPA: C12 Percent of total first-time, first-year students who submitted high school GPA: Admission Policies"
2023-2024,C,C13,Application Fee,C13 Application Fee If your institution has waived its application fee for the Fall 2025 admission cycle please select no. C13 Yes No C13 Does your institution have an X application fee? C13 Amount of application fee: $70 C13 Yes No C13 Can it be waived for applicants X with financial need? C13 If y
2023-2024,C,C14,Application closing date,C14 Application closing date C14 Yes No C14 Does your institution have an X application closing date? C14 Application closing date (fall): Varies by year C14 Priority date: 12/1
2023-2024,C,C15,Yes                    No,"C15 Yes No C15 Are first-time, first-year students accepted for terms other than the X (Varies by fall? college/campus)"
2023-2024,C,C16,Notification to applicants of admission decision sent (fill in one only),"C16 Notification to applicants of admission decision sent (fill in one only) C16 On a rolling basis beginning (date): C16 By (date): C16 January 31 for Early Action, February 28 Other: for Regular Decision."
2023-2024,C,C17,Reply policy for admitted applicants (fill in one only),C17 Reply policy for admitted applicants (fill in one only) C17 Must reply by (date): C17 No set date: C17 Must reply by May 1 or within 1 X week if notified thereafter C17 Other: C17 Deadline for housing deposit: 06/01 recommended C17 Amount of housing deposit: $200 C17 Refundable if student does n
2023-2024,C,C18,Deferred admission,"C18 Deferred admission C18 Yes No C18 Does your institution allow students to postpone enrollment after X admission? C18 If yes, maximum period of postponement: Deferral is granted only for a full academic year, from one fall semester to the very next fall semester, and may not be extended. A deferr"
2023-2024,C,C19,Early admission of high school students,"C19 Early admission of high school students C19 Yes No C19 Does your institution allow high school students to enroll as full-time, first- time, first-year students one year or more before high school graduation? X"
2023-2024,C,C20,Common Application                    Question removed from CDS.                  (Initiated during 2006-2007 cycle),C20 Common Application Question removed from CDS. (Initiated during 2006-2007 cycle) Rutgers University - New Brunswick - August 2024 Page 11 RUTGERS UNIVERSITY – NEW BRUNSWICK Early Decision and Early Action Plans
2023-2024,C,C21,Early Decision,C21 Early Decision C21 Yes No C21 Does your institution offer an early decision plan (an admission plan that permits students to apply and be notified of an admission decision well in advance of the regular notification date and that asks students to commit X to attending if accepted) for first-time
2023-2024,C,C22,Early action,"C22 Early action C22 Yes No C22 Do you have a nonbinding early action plan whereby students are notified of an admission decision well in advance of the regular notification date but X do not have to commit to attending your college? C22 If “yes,” please complete the following: C22 Early action clos"
2023-2024,D,D1,Yes             No,"D1 Yes No D1 Does your institution enroll transfer students? (If no, X please skip to Section E) D1 If yes, may transfer students earn advanced standing credit by transferring credits earned from course work completed X at other colleges/universities?"
2023-2024,D,D2,"Provide the number of students who applied, were admitted, and enrolled as degree-seeking transfer","D2 Provide the number of students who applied, were admitted, and enrolled as degree-seeking transfer students in Fall 2023. D2 Admitted Enrolled Applicants Applicants Applicants D2 Men 3,603 2,099 1,111 D2 Women 3,611 2,054 1,021 D2 Total 7,214 4,153 2,132 Application for Admission"
2023-2024,D,D3,Indicate terms for which transfers may enroll:,D3 Indicate terms for which transfers may enroll: D3 Fall X D3 Winter D3 Spring X D3 Summer X
2023-2024,D,D4,Yes             No,"D4 Yes No D4 Must a transfer applicant have a minimum number of credits completed or else must apply as an entering first- X year student? D4 If yes, what is the minimum number of credits and the unit 12 of measure?"
2023-2024,D,D5,Indicate all items required of transfer students to apply for admission:,D5 Indicate all items required of transfer students to apply for admission: D5 Recommended Recommended Required of All Required of Some Not Required of All of Some D5 High school transcript X D5 College transcript(s) X D5 Essay or personal X statement D5 Interview X D5 Standardized test scores X D5 
2023-2024,D,D6,If a minimum high school grade point average is required,"D6 If a minimum high school grade point average is required of transfer applicants, specify (on a 4.0 scale):"
2023-2024,D,D7,If a minimum college grade point average is required of,"D7 If a minimum college grade point average is required of transfer applicants, specify (on a 4.0 scale): Rutgers University - New Brunswick - August 2024 Page 13 RUTGERS UNIVERSITY – NEW BRUNSWICK"
