year,metric,value
2018-2019,avg_need_based_grant_award,2
2018-2019,avg_need_based_loan,2
2018-2019,avg_financial_aid_package,2
2017-2018,avg_need_based_grant_award,2
2017-2018,avg_need_based_loan,2
2017-2018,avg_financial_aid_package,2
2016-2017,avg_need_based_grant_award,47664
2016-2017,avg_need_based_loan,2646
2016-2017,avg_financial_aid_package,50547
2015-2016,avg_need_based_loan,2580
2015-2016,avg_financial_aid_package,46438
2014-2015,avg_need_based_loan,2500
2014-2015,avg_financial_aid_package,44790
2014-2015,avg_per_borrower_cumulative_debt,19230
2011-2012,avg_need_based_loan,2138
2011-2012,avg_financial_aid_package,41415
2011-2012,avg_per_borrower_cumulative_debt,16458
2010-2011,avg_need_based_loan,2205
2010-2011,avg_financial_aid_package,40298
2010-2011,pct_class_borrowed,35.0
2010-2011,avg_per_borrower_cumulative_debt,14058
2009-2010,avg_need_based_loan,2614
2009-2010,avg_financial_aid_package,40204
2009-2010,pct_class_borrowed,36.0
2009-2010,avg_per_borrower_cumulative_debt,16219
2008-2009,avg_need_based_loan,2406
2008-2009,avg_financial_aid_package,34388
2008-2009,avg_per_borrower_cumulative_debt,15724
