year,section,field,label,raw_preview
2024-2025,A,A0,Respondent Information (Not for Publication)                           Response Text,A0 Respondent Information (Not for Publication) Response Text
2024-2025,A,A01,Name:,A01 Name:
2024-2025,A,A02,Title:,A02 Title:
2024-2025,A,A03,Office:,A03 Office:
2024-2025,A,A04,Mailing Address:,A04 Mailing Address:
2024-2025,A,A05,City/State/Zip/Country:,A05 City/State/Zip/Country:
2024-2025,A,A06,Phone:,A06 Phone:
2024-2025,A,A07,Fax:,A07 Fax:
2024-2025,A,A08,E-mail Address:,A08 E-mail Address: Response 'Y' or 'N' Are your responses to the CDS posted for reference on
2024-2025,A,A09,your institution's Web site?                                           Y,"A09 your institution's Web site? Y Response URL https://www.swarthmore.edu/institutional- If yes, please provide the URL of the corresponding Web effectiveness-research- A010 page: assessment/common-data-set Response Text We invite you to indicate if there are items on the CDS for which you cannot u"
2024-2025,A,A0A,publishers further refine CDS items.,A0A publishers further refine CDS items.
2024-2025,A,A1,Address Information                                                    Response Text,"A1 Address Information Response Text A101 Name of College/University: Swarthmore College A102 Mailing Address: 500 College Avenue A103 City/State/Zip/Country: Swarthmore, PA 19081, United States A104 Street Address (if different): A105 City/State/Zip/Country: A106 Main Phone Number: 610-328-8000 A10"
2024-2025,A,A2,Source of institutional control (Check only one):                       Response 'x',A2 Source of institutional control (Check only one): Response 'x' A201 Public A202 Private (nonprofit) x A203 Proprietary
2024-2025,A,A3,Classify your undergraduate institution:                                Response 'x',A3 Classify your undergraduate institution: Response 'x' A301 Coeducational college x A302 Men's college A303 Women's college
2024-2025,A,A4,Academic year calendar:                                                 Response 'x',A4 Academic year calendar: Response 'x' A401 Semester x A402 Quarter A403 Trimester A404 4-1-4 A405 Continuous Response Text A406 Differs by program (describe): A407 Other (describe)
2024-2025,A,A5,Degrees offered by your institution:                                    Response 'x',"A5 Degrees offered by your institution: Response 'x' A501 Certificate A502 Diploma A503 Associate A504 Transfer Associate A505 Terminal Associate A506 Bachelor's x A507 Postbachelor's certificate A508 Master's Swarthmore College Institutional Effectiveness, Research & Assessment-- Page 2 of 72 A509 "
2024-2025,A,A6,"Diversity, Equity, and Inclusion                                        Response URL","A6 Diversity, Equity, and Inclusion Response URL If you have a diversity, equity, and inclusion office or department, please provide the URL of the https://www.swarthmore.edu/inclusive- A601 corresponding Web page: excellence Swarthmore College Institutional Effectiveness, Research & Assessment-- Pa"
2024-2025,B,B1,Institutional Enrollment ‐ Men and Women,"B1 Institutional Enrollment ‐ Men and Women Provide numbers of students for each of the following categories as of the institution's official fall reporting date or as of October 15, 2024. • Note: Report students formerly designated as “first professional” in the graduate cells. • For information on"
2024-2025,B,B2,Enrollment by Racial/Ethnic Category.,"B2 Enrollment by Racial/Ethnic Category. Provide numbers of undergraduate students for each of the following categories as of the institution’s official fall reporting date or as of October 15, 2024. • Include international students only in the category ""Nonresidents."" • Complete the “Total Undergra"
2024-2025,B,B3,Persistence,"B3 Persistence Number of degrees awarded by your institution from July Total 1, 2023, to June 30, 2024. B301 Certificate/diploma B302 Associate degrees B303 Bachelor's degrees 426 B304 Postbachelor's certificates B305 Master's degrees B306 Post-Master's certificates B307 Doctoral degrees – research/"
2024-2025,B,B4,B4‐B21: Graduation Rates,"B4 B4‐B21: Graduation Rates The items in this section correspond to data elements collected by the IPEDS Web‐ based Data Collection System’s Graduation Rate Survey (GRS). • For complete instructions and definitions of data elements, see the IPEDS GRS Forms and Instructions for the 2024‐2025 Survey. "
2024-2025,B,B12,"Initial cohort, total of first‐time, full‐time                            Total","B12 Initial cohort, total of first‐time, full‐time Total B1201 2021 Cohort B1202 2020 Cohort"
2024-2025,B,B13,"Of the initial cohort, how many did not persist and did                   Total","B13 Of the initial cohort, how many did not persist and did Total not graduate for the following reasons: • Death • Permanently Disability • Service in the armed forces, • Foreign aid service of the federal government • Official church missions B1301 2021 Cohort B1302 2020 Cohort"
2024-2025,B,B14,"Final cohort, after adjusting for allowable exclusions:                   Total","B14 Final cohort, after adjusting for allowable exclusions: Total B1401 2021 Cohort 0 B1402 2020 Cohort 0"
2024-2025,B,B15,Completers of programs of less than two years duration                    Total,B15 Completers of programs of less than two years duration Total B1501 2021 Cohort B1502 2020 Cohort
