year,metric,sex,value
2024-2025,applied,male,14310
2024-2025,applied,female,18834
2024-2025,admitted,male,1633
2024-2025,admitted,female,2189
2024-2025,enrolled,male,733
2024-2025,enrolled,female,1000
2023-2024,applied,male,13955.0
2023-2024,applied,female,18669.0
2023-2024,applied,unknown,1379.0
2023-2024,admitted,male,1416.0
2023-2024,admitted,female,1905.0
2023-2024,admitted,unknown,123.0
2023-2024,enrolled,male,718.0
2023-2024,enrolled,female,959.0
2023-2024,enrolled,unknown,62.0
2018-2019,applied,male,8933
2018-2019,applied,female,12568
2018-2019,admitted,male,1375
2018-2019,admitted,female,1768
2018-2019,enrolled,male,652
2018-2019,enrolled,female,832
