year,metric,sex,value
2024-2025,applied,male,43931
2024-2025,applied,female,50044
2024-2025,admitted,male,16150
2024-2025,admitted,female,23056
2024-2025,enrolled,male,2622
2024-2025,enrolled,female,3891
2023-2024,applied,male,42360.0
2023-2024,applied,female,48049.0
2023-2024,applied,unknown,4218.0
2023-2024,admitted,male,15290.0
2023-2024,admitted,female,22317.0
2023-2024,admitted,unknown,1792.0
2023-2024,enrolled,male,2462.0
2023-2024,enrolled,female,3820.0
2023-2024,enrolled,unknown,299.0
2020-2021,applied,male,34949
2020-2021,applied,female,41276
2020-2021,admitted,male,14420
2020-2021,admitted,female,20884
2020-2021,enrolled,male,2273
2020-2021,enrolled,female,3864
