year,expense,amount
2024-2025,tuition_first_year,13602
2024-2025,tuition_in_state,13602
2024-2025,tuition_out_of_state,51204
2024-2025,required_fees,3749
2024-2025,food_and_housing,20771
2024-2025,housing_only,374
2024-2025,food_only,2077
2024-2025,books_supplies,1463
2024-2025,transportation,1030
2024-2025,other_expenses,2177
2023-2024,tuition_first_year,11928
2023-2024,tuition_in_state,49038
2023-2024,tuition_out_of_state,44148
2023-2024,required_fees,1290
2023-2024,food_and_housing,3618.0
2023-2024,housing_only,19426.0
2023-2024,food_only,1128
2023-2024,books_supplies,1386
2023-2024,transportation,2053
2023-2024,other_expenses,5692
2020-2021,tuition_first_year,11442
2020-2021,tuition_in_state,11442
2020-2021,tuition_out_of_state,41196
2020-2021,required_fees,3212
2020-2021,room_only,16480
2020-2021,board_only,1648
2020-2021,room_and_board,16480
2020-2021,books_supplies,1197
2020-2021,transportation,603
2020-2021,other_expenses,4188
