year,metric,sex,value
2024-2025,applied,male,26453
2024-2025,applied,female,29036
2024-2025,admitted,male,19177
2024-2025,admitted,female,23387
2024-2025,enrolled,male,2441
2024-2025,enrolled,female,2840
2023-2024,applied,male,26221
2023-2024,applied,female,28526
2023-2024,admitted,male,16968
2023-2024,admitted,female,21505
2023-2024,enrolled,male,2430
2023-2024,enrolled,female,2912
2019-2020,applied,male,21936
2019-2020,applied,female,27582
2019-2020,admitted,male,12232
2019-2020,admitted,female,15992
2019-2020,enrolled,male,2201
2019-2020,enrolled,female,2577
