year,section,field,label,raw_preview
2024-2025,A,A1,Address Information,"A1 Address Information Name of College/University: University of California, Riverside Mailing Address: 900 University Avenue City/State/Zip/Country: Riverside, CA 92521 Street Address (if different): City/State/Zip/Country: Main Phone Number: 951-827-1012 WWW Home Page Address: https://www.ucr.edu "
2024-2025,A,A2,Source of institutional control (Check only one):,A2 Source of institutional control (Check only one): x Public Private (nonprofit) Proprietary
2024-2025,A,A3,Classify your undergraduate institution:,A3 Classify your undergraduate institution: x Coeducational college Men’s college Women’s college
2024-2025,A,A4,Academic year calendar:,"A4 Academic year calendar: Semester x Quarter Trimester 4-1-4 Continuous Differs by program (describe): Other (describe): Common Data Set 2024-2025 CDS-A University of California, Riverside Page 1 A5 Degrees offered by your institution: Certificate Diploma Associate Transfer Associate Terminal Assoc"
2024-2025,A,A6,"Diversity, Equity, and Inclusion","A6 Diversity, Equity, and Inclusion If you have a diversity, equity, and inclusion office or department, please provide the URL of the corresponding Web page: https://diversity.ucr.edu Common Data Set 2024-2025 CDS-A University of California, Riverside Page 2"
2024-2025,B,B1,Institutional Enrollment - Men and Women,"B1 Institutional Enrollment - Men and Women Provide numbers of students for each of the following categories as of the institution’s official fall reporting date or as of October 15, 2024. • Note: Report students formerly designated as “first professional” in the graduate cells. • For information on"
2024-2025,B,B3,"Number of degrees awarded by your institution from July 1, 2023, to June 30, 2024.","B3 Number of degrees awarded by your institution from July 1, 2023, to June 30, 2024. Certificate/diploma Associate degrees Bachelor’s degrees 5549 Postbachelor’s certificates Master’s degrees 1015 Post-Master’s certificates Doctoral degrees – research/scholarship 328 Doctoral degrees – professional"
2024-2025,B,B4,-B21: Graduation Rates,"B4-B21: Graduation Rates The items in this section correspond to data elements collected by the IPEDS Web-based Data Collection System’s Graduation Rate Survey (GRS). • For complete instructions and definitions of data elements, see the IPEDS GRS Forms and Instructions for the 2024-2025 Survey. http"
2024-2025,B,B12,,"B12 Initial cohort, total of first-time, full-time degree/certificate-seeking students:"
2024-2025,B,B13,"Of the initial cohort, how many did not persist and did not graduate for the following","B13 Of the initial cohort, how many did not persist and did not graduate for the following reasons: • Death • Permanently Disability • Service in the armed forces, • Foreign aid service of the federal government • Official church missions • Report total allowable exclusions"
2024-2025,B,B14,"Final cohort, after adjusting for allowable exclusions:","B14 Final cohort, after adjusting for allowable exclusions:"
2024-2025,B,B15,Completers of programs of less than two years duration (total):,B15 Completers of programs of less than two years duration (total):
2024-2025,B,B16,,B16 Completers of programs of less than two years within 150 percent of normal time:
2024-2025,B,B17,Completers of programs of at least two but less than four years (total):,B17 Completers of programs of at least two but less than four years (total):
2024-2025,B,B18,Completers of programs of at least two but less than four-years within 150 percent of,B18 Completers of programs of at least two but less than four-years within 150 percent of normal time:
2024-2025,B,B19,Total transfers-out (within three years) to other institutions:,B19 Total transfers-out (within three years) to other institutions:
2024-2025,B,B20,Total transfers to two-year institutions:,B20 Total transfers to two-year institutions:
2024-2025,B,B21,Total transfers to four-year institutions:,B21 Total transfers to four-year institutions:
2024-2025,B,B22,. Retention Rates,"B22. Retention Rates Report for the cohort of all full-time, first-time bachelor’s (or equivalent) degree-seeking undergraduate students who entered in Fall 2023 (or the preceding summer term). • The initial cohort may be adjusted for students who departed for the following reasons: * Death * Perman"
2024-2025,C,C1,-C2: Applications,"C1-C2: Applications C1 First-time, first-year students: Provide the number of degree-seeking, first-time, first-year students who applied, were admitted, and enrolled (full- or part-time) in Fall 2024. • Include early decision, early action, and students who began studies during summer in this cohor"
2024-2025,C,C3,-C5: Admission Requirements,C3-C5: Admission Requirements C3 High school completion requirement Check the appropriate box to identify your high school completion requirement for degree-seeking entering students: x High school diploma is required and GED is accepted High school diploma is required and GED is not accepted High s
2024-2025,C,C4,Does your institution require or recommend a general college-preparatory program for degree-seeking students?,C4 Does your institution require or recommend a general college-preparatory program for degree-seeking students? Require Recommend Neither require nor recommend
2024-2025,C,C5,Distribution of high school units required and/or recommended. Specify the distribution of academic high school,C5 Distribution of high school units required and/or recommended. Specify the distribution of academic high school course units required and/or recommended of all or most degree-seeking students using Carnegie units (one unit equals one year of study or its equivalent). If you use a different system
2024-2025,C,C6,"Do you have an open admission policy, under which virtually all secondary school graduates or students with GED","C6 Do you have an open admission policy, under which virtually all secondary school graduates or students with GED equivalency diplomas are admitted without regard to academic record, test scores, or other qualifications? If so, check which applies: Open admission policy as described above for all s"
2024-2025,C,C7,"Relative importance of each of the following academic and nonacademic factors in your first-time, first-year,","C7 Relative importance of each of the following academic and nonacademic factors in your first-time, first-year, degree-seeking general (not including programs with specific criteria) admissions decisions. Very Not Academic Important Considered Important Considered Rigor of secondary school record x"
2024-2025,C,C8A,"If yes, place check marks in the appropriate boxes below to reflect your institution’s policies for use in admission for","C8A If yes, place check marks in the appropriate boxes below to reflect your institution’s policies for use in admission for students applying for Fall 2026. Not required for Not considered Required to be Required for admission, but for admission, Admission considered for Recommended some considered"
2024-2025,C,C8B,Has been removed from the CDS.,C8B Has been removed from the CDS.
2024-2025,C,C8C,Has been removed from the CDS.,C8C Has been removed from the CDS.
2024-2025,C,C8D,"In addition, does your institution use applicants’ test scores for academic advising?","C8D In addition, does your institution use applicants’ test scores for academic advising? x Yes No"
2024-2025,C,C8E,Latest date by which SAT or ACT scores must be received for fall-term admission,C8E Latest date by which SAT or ACT scores must be received for fall-term admission
2024-2025,C,C8F,"If necessary, use this space to clarify your test policies (e.g., if tests are recommended for some students, or if tests are not","C8F If necessary, use this space to clarify your test policies (e.g., if tests are recommended for some students, or if tests are not required of some students due to differences by academic program, student academic background, or if other examinations may be considered in lieu of the SAT and ACT):"
2024-2025,C,C8G,"Please indicate which tests your institution uses for placement (e.g., state tests):","C8G Please indicate which tests your institution uses for placement (e.g., state tests): x SAT x ACT x AP CLEP x Institutional Exam State Exam (specify): Common Data Set 2024-2025 CDS-C University of California, Riverside Page 12 C9-C12: First-time, first-year Profile Provide information for ALL enr"
2024-2025,C,C9,"Percent and number of first-time, first-year students enrolled in Fall 2024 who submitted national standardized","C9 Percent and number of first-time, first-year students enrolled in Fall 2024 who submitted national standardized (SAT/ACT) test scores. • Include information for ALL enrolled, degree-seeking, first-time, first-year students who submitted test scores. • Do not include partial test scores (e.g., mat"
2024-2025,C,C10,"Percent of all degree-seeking, first-time, first-year students who had high school class rank within each of the","C10 Percent of all degree-seeking, first-time, first-year students who had high school class rank within each of the following ranges (report information for those students from whom you collected high school rank information) Assessment Percent Percent in top tenth of high school graduating class P"
2024-2025,C,C12,"Average high school GPA of all degree-seeking, first-time, first-","C12 Average high school GPA of all degree-seeking, first-time, first- 3.83 year students who submitted GPA: Percent of total first-time, first-year students who submitted high 100% school GPA: Common Data Set 2024-2025 CDS-C University of California, Riverside Page 15 C13-C20: Admission Policies"
2024-2025,C,C13,Application Fee,C13 Application Fee If your institution has waived its application fee for the Fall 2026 admission cycle please select no. Yes No Does your institution have an application fee? x Amount of application fee: $80.00 Yes No Can it be waived for applicants with financial need? x If you have an applicatio
2024-2025,C,C14,Application closing date,C14 Application closing date Yes No Does your institution have an application closing x date? Date Application closing date (fall) 12/02 Priority Date Yes No
2024-2025,C,C15,"Are first-time, first-year students accepted for terms other","C15 Are first-time, first-year students accepted for terms other x than the fall?"
2024-2025,C,C16,Notification to applicants of admission decision sent (fill in one only),"C16 Notification to applicants of admission decision sent (fill in one only) On a rolling basis beginning (date): x By (date): March 31 Other: Common Data Set 2024-2025 CDS-C University of California, Riverside Page 16 C17 Reply policy for admitted applicants (fill in one only) Must reply by (date):"
2024-2025,C,C18,Deferred admission,"C18 Deferred admission Yes No Does your institution allow students to postpone enrollment after x admission? If yes, maximum period of postponement:"
