year,category,male,female,unknown
2024-2025,undergrad_FT_total,10120,11335,374
2024-2025,undergrad_PT_total,276,223,10
2024-2025,undergrad_total,10396,11558,384
2024-2025,graduate_FT_total,1861,1527,74
2024-2025,graduate_PT_total,172,108,4
2024-2025,graduate_total,2033,1635,78
2024-2025,total_undergraduates,22599,,
2024-2025,total_graduate,3785,,
2024-2025,grand_total,26384,,
2024-2025,FT_first_time_first_year,2430,2826,87
2023-2024,undergrad_FT_total,10246,11373,356
2023-2024,undergrad_PT_total,366,297,8
2023-2024,undergrad_total,10612,11670,364
2023-2024,graduate_FT_total,1874,1501,75
2023-2024,graduate_PT_total,183,143,4
2023-2024,graduate_total,2057,1644,79
2023-2024,total_undergraduates,22646,,
2023-2024,total_graduate,3780,,
2023-2024,grand_total,26426,,
2019-2020,total_undergraduates,22055,,
2019-2020,total_graduate,3493,,
2019-2020,grand_total,25548,,
