year,metric,sex,value
2024-2025,applied,male,60225
2024-2025,applied,female,67953
2024-2025,admitted,male,13964
2024-2025,admitted,female,20282
2024-2025,enrolled,male,3031
2024-2025,enrolled,female,4054
2023-2024,applied,male,58778
2023-2024,applied,female,66519
2023-2024,applied,unknown,5548
2023-2024,admitted,male,12351
2023-2024,admitted,female,18742
2023-2024,admitted,unknown,1310
2023-2024,enrolled,male,2823
2023-2024,enrolled,female,3944
2023-2024,enrolled,unknown,240
2019-2020,applied,male,46432
2019-2020,applied,female,52701
2019-2020,admitted,male,15102
2019-2020,admitted,female,16960
2019-2020,enrolled,male,3016
2019-2020,enrolled,female,3007
