year,expense,amount
2024-2025,tuition_first_year,14934
2024-2025,tuition_in_state,14934
2024-2025,tuition_out_of_state,52536
2024-2025,required_fees,5472
2024-2025,food_and_housing,19629
2024-2025,housing_only,5472
2024-2025,food_only,19629
2024-2025,books_supplies,1365
2024-2025,transportation,1047
2024-2025,other_expenses,2364
2023-2024,tuition_first_year,13146
2023-2024,tuition_in_state,13146
2023-2024,tuition_out_of_state,47346
2023-2024,required_fees,3669
2023-2024,food_and_housing,18522
2023-2024,housing_only,366
2023-2024,food_only,1852
2023-2024,books_supplies,1287
2023-2024,transportation,927
2023-2024,other_expenses,5088
2019-2020,tuition_first_year,11994
2019-2020,tuition_in_state,11994
2019-2020,tuition_out_of_state,43188
2019-2020,room_and_board,6835
