year,metric,sex,value
2024-2025,applied,male,19195
2024-2025,applied,female,23636
2024-2025,admitted,male,1070
2024-2025,admitted,female,885
2024-2025,enrolled,male,955
2024-2025,enrolled,female,771
2023-2024,applied,male,17373
2023-2024,applied,female,21249
2023-2024,admitted,male,994
2023-2024,admitted,female,855
2023-2024,enrolled,male,885
2023-2024,enrolled,female,741
2022-2023,applied,male,16830
2022-2023,applied,female,20670
2022-2023,admitted,male,1064
2022-2023,admitted,female,975
2022-2023,enrolled,male,937
2022-2023,enrolled,female,792
2021-2022,applied,male,17513
2021-2022,applied,female,20445
2021-2022,admitted,male,1254
2021-2022,admitted,female,1206
2021-2022,enrolled,male,1067
2021-2022,enrolled,female,986
