year,category,male,female,unknown
2024-2025,undergrad_FT_total,4081,3432,0
2024-2025,undergrad_PT_total,4,2,0
2024-2025,undergrad_total,4085,3434,0
2024-2025,graduate_FT_total,2801,2757,0
2024-2025,graduate_PT_total,1912,1232,0
2024-2025,graduate_total,4713,3989,0
2024-2025,total_undergraduates,7519,,
2024-2025,total_graduate,8702,,
2024-2025,grand_total,16221,,
2023-2024,undergrad_FT_total,4003,3485,0
2023-2024,undergrad_PT_total,1,0,0
2023-2024,undergrad_total,4004,3485,
2023-2024,graduate_FT_total,2644,2591,0
2023-2024,graduate_PT_total,1885,1154,0
2023-2024,graduate_total,4529,3745,
2023-2024,total_undergraduates,7489,,
2023-2024,total_graduate,8274,,
2023-2024,grand_total,15763,,
2022-2023,total_undergraduates,7470,,
2022-2023,total_graduate,8476,,
2022-2023,grand_total,15946,,
2021-2022,total_undergraduates,7526,,
2021-2022,total_graduate,8748,,
2021-2022,grand_total,16274,,
