year,expense,amount
2024-2025,tuition_first_year,71325
2024-2025,tuition_out_of_state,2637
2024-2025,required_fees,2637
2024-2025,food_and_housing,20835
2024-2025,housing_only,263
2024-2025,food_only,2083
2024-2025,books_supplies,1800
2024-2025,transportation,450
2024-2025,other_expenses,1950
2023-2024,tuition_first_year,67446
2023-2024,tuition_out_of_state,3216
2023-2024,required_fees,3216
2023-2024,food_and_housing,20109
2023-2024,housing_only,321
2023-2024,food_only,2010
2023-2024,books_supplies,1800
2023-2024,transportation,450
2023-2024,other_expenses,1950
2022-2023,tuition_first_year,63801
2022-2023,tuition_in_state,6380
2022-2023,tuition_out_of_state,3138
2022-2023,required_fees,3138
2022-2023,room_only,313
2022-2023,board_only,1922
2022-2023,room_and_board,19221
2022-2023,books_supplies,1800
2022-2023,transportation,450
2022-2023,other_expenses,1950
2021-2022,tuition_first_year,61179
2021-2022,tuition_in_state,6117
2021-2022,tuition_out_of_state,3081
2021-2022,required_fees,3081
2021-2022,room_only,308
2021-2022,board_only,1839
2021-2022,room_and_board,18396
2021-2022,books_supplies,1800
2021-2022,transportation,2400
2021-2022,other_expenses,2400
