year,metric,sex,value
2025-2026,applied,male,65079
2025-2026,applied,female,73508
2025-2026,applied,unknown,6499
2025-2026,admitted,male,5546
2025-2026,admitted,female,7274
2025-2026,admitted,unknown,839
2025-2026,enrolled,male,2547
2025-2026,enrolled,female,3652
2025-2026,enrolled,unknown,354
2023-2024,applied,male,64324
2023-2024,applied,female,75500
2023-2024,admitted,male,4771
2023-2024,admitted,female,7570
2023-2024,enrolled,male,2346
2023-2024,enrolled,female,4195
2020-2021,applied,male,49603
2020-2021,applied,female,57753
2020-2021,admitted,male,6571
2020-2021,admitted,female,8781
2020-2021,enrolled,male,2524
2020-2021,enrolled,female,3854
