year,category,male,female,unknown
2024-2025,undergrad_FT_total,7847,12277,0
2024-2025,undergrad_PT_total,430,521,0
2024-2025,undergrad_total,8277,12798,0
2024-2025,graduate_FT_total,2829,4525,0
2024-2025,graduate_PT_total,1825,2426,0
2024-2025,graduate_total,4654,6951,0
2024-2025,total_undergraduates,21075,,
2024-2025,total_graduate,11605,,
2024-2025,grand_total,32680,,
2024-2025,FT_first_time_first_year,1750,2882,
2023-2024,undergrad_total,7844,381,12193
2023-2024,graduate_total,2982,1653,4591
2021-2022,total_undergraduates,19897,,
2021-2022,total_graduate,11836,,
2021-2022,grand_total,31733,,
