year,expense,amount
2024-2025,tuition_first_year,7020
2024-2025,tuition_in_state,293
2024-2025,tuition_out_of_state,1798
2024-2025,required_fees,2076
2024-2025,room_only,8570
2024-2025,board_only,6468
2024-2025,food_and_housing,15038
2024-2025,housing_only,3540
2024-2025,books_supplies,622
2024-2025,transportation,1050
2024-2025,other_expenses,1960
2023-2024,tuition_first_year,7020.0
2023-2024,required_fees,1990.0
2023-2024,food_and_housing,13804.0
2023-2024,housing_only,7736.0
2023-2024,food_only,6068.0
2023-2024,books_supplies,1290.0
2023-2024,transportation,976.0
2023-2024,other_expenses,1956.0
2021-2022,tuition_first_year,7020
2021-2022,required_fees,1978
2021-2022,room_only,7014
2021-2022,board_only,5240
2021-2022,books_supplies,1290
2021-2022,transportation,840
2021-2022,other_expenses,1876
