year,section,field,label,raw_preview
2024-2025,A,A0,Respondent Information (Not for Publication),"A0 Respondent Information (Not for Publication) Name: Title: Office: Mailing Address: City/State/Zip/Country: Phone: Fax: E-mail Address: Are your responses to the CDS posted for X Yes reference on your institution's Web site? No If yes, please provide the URL of the corresponding Web page: https://"
2024-2025,A,A0A,We invite you to indicate if there are items on the CDS for which you cannot use the requested analytic,"A0A We invite you to indicate if there are items on the CDS for which you cannot use the requested analytic convention, cannot provide data for the cohort requested, whose methodology is unclear, or about which you have questions or comments in general. This information will not be published but wil"
2024-2025,A,A1,Address Information,A1 Address Information Name of College/University: University of Southern California Mailing Address: City/State/Zip/Country: Los Angeles / CA / 90007 / United States Street Address (if different): University Park Campus City/State/Zip/Country: Main Phone Number: 213-740-2311 WWW Home Page Address: 
2024-2025,A,A2,Source of institutional control (Check only one):,A2 Source of institutional control (Check only one): Public x Private (nonprofit) Proprietary
2024-2025,A,A3,Classify your undergraduate institution:,A3 Classify your undergraduate institution: x Coeducational college CDS-A Men's college Women's college
2024-2025,A,A4,Academic year calendar:,A4 Academic year calendar: x Semester Quarter Trimester 4-1-4 Continuous Differs by program (describe): Other (describe):
2024-2025,A,A5,Degrees offered by your institution:,A5 Degrees offered by your institution: Certificate Diploma Associate Transfer Associate Terminal Associate x Bachelor's x Postbachelor's certificate x Master's x Post-master's certificate x Doctoral degree research/scholarship x Doctoral degree – professional practice x Doctoral degree -- other A5 
2024-2025,A,A6,"Diversity, Equity, and Inclusion","A6 Diversity, Equity, and Inclusion If you have a diversity, equity, and inclusion office or department, please provide the URL of the correspond CDS-A"
2024-2025,B,B1,Institutional Enrollment - Men and Women,"B1 Institutional Enrollment - Men and Women Provide numbers of students for each of the following categories as of the institution's official fall reporting date or as of October 15, 2024. • Note: Report students formerly designated as “first professional” in the graduate cells. • For information on"
2024-2025,B,B2,Enrollment by Racial/Ethnic Category.,"B2 Enrollment by Racial/Ethnic Category. Provide numbers of undergraduate students for each of the following categories as of the institution’s official fall reporting date or as of Octobe • Include international students only in the category ""Nonresidents."" • Complete the “Total Undergraduates” col"
2024-2025,B,B3,"Number of degrees awarded by your institution from July 1, 2023, to June 30, 2024.","B3 Number of degrees awarded by your institution from July 1, 2023, to June 30, 2024. Certificate/diploma Associate degrees Bachelor's degrees 5,972 Postbachelor's certificates 32 Master's degrees 9,534 Post-Master's certificates 1,010 Doctoral degrees – research/scholarship 882 CDS-B Doctoral degre"
2024-2025,B,B4,-B21: Graduation Rates,"B4-B21: Graduation Rates The items in this section correspond to data elements collected by the IPEDS Web-based Data Collection System’s Graduation Rate Survey (G • For complete instructions and definitions of data elements, see the IPEDS GRS Forms and Instructions for the 2024-2025 Survey. https://"
2024-2025,B,B12,"Initial cohort, total of first-time, full-time degree/certificate-seeking students:","B12 Initial cohort, total of first-time, full-time degree/certificate-seeking students:"
2024-2025,B,B13,"Of the initial cohort, how many did not persist and did not graduate for the following reasons:","B13 Of the initial cohort, how many did not persist and did not graduate for the following reasons: • Death • Permanently Disability • Service in the armed forces, • Foreign aid service of the federal government • Official church missions • Report total allowable exclusions"
2024-2025,B,B14,"Final cohort, after adjusting for allowable exclusions:                                                                       0                  0","B14 Final cohort, after adjusting for allowable exclusions: 0 0"
2024-2025,B,B15,Completers of programs of less than two years duration (total):,B15 Completers of programs of less than two years duration (total):
2024-2025,B,B16,Completers of programs of less than two years within 150 percent of normal time:,B16 Completers of programs of less than two years within 150 percent of normal time:
2024-2025,B,B17,Completers of programs of at least two but less than four years (total):,B17 Completers of programs of at least two but less than four years (total):
2024-2025,B,B18,Completers of programs of at least two but less than four-years within 150 percent of normal time:,B18 Completers of programs of at least two but less than four-years within 150 percent of normal time:
2024-2025,B,B19,Total transfers-out (within three years) to other institutions:,B19 Total transfers-out (within three years) to other institutions:
2024-2025,B,B20,Total transfers to two-year institutions:,B20 Total transfers to two-year institutions:
