year,category,male,female,unknown
2024-2025,undergrad_FT_total,9508,10381,294
2024-2025,undergrad_PT_total,250,192,5
2024-2025,undergrad_total,9758,10573,299
2024-2025,graduate_FT_total,9664,11443,178
2024-2025,graduate_PT_total,2199,2416,36
2024-2025,graduate_total,11863,13859,214
2024-2025,total_undergraduates,20630,,
2024-2025,total_graduate,25936,,
2024-2025,grand_total,46566,,
2022-2023,total_undergraduates,20699,,
2022-2023,total_graduate,28246,,
2022-2023,grand_total,48945,,
