year,expense,amount
2024-2025,tuition_first_year,66640
2024-2025,tuition_out_of_state,2047
2024-2025,required_fees,2047
2024-2025,food_and_housing,19200
2024-2025,housing_only,11910
2024-2025,food_only,7920
2024-2025,books_supplies,1200
2024-2025,transportation,464
2024-2025,other_expenses,1820
2022-2023,tuition_first_year,63468
2022-2023,tuition_in_state,6346
2022-2023,tuition_out_of_state,1258
2022-2023,required_fees,1258
2022-2023,room_only,10504
2022-2023,board_only,6930
2022-2023,room_and_board,17434
2022-2023,books_supplies,1200
2022-2023,transportation,586
2022-2023,other_expenses,1702
