year,metric,sex,value
2024-2025,applied,male,8224
2024-2025,applied,female,10498
2024-2025,admitted,male,1919
2024-2025,admitted,female,2137
2024-2025,enrolled,male,672
2024-2025,enrolled,female,794
2023-2024,applied,male,7864
2023-2024,applied,female,9613
2023-2024,admitted,male,1751
2023-2024,admitted,female,2017
2023-2024,enrolled,male,623
2023-2024,enrolled,female,762
2018-2019,applied,male,5565
2018-2019,applied,female,7372
2018-2019,admitted,male,1820
2018-2019,admitted,female,1983
2018-2019,enrolled,male,703
2018-2019,enrolled,female,718
