year,section,field,label,raw_preview
2024-2025,B,B1,. Institutional Enrollment - Men and Women,"B1. Institutional Enrollment - Men and Women Provide numbers of students for each of the following categories as of the institution's official fall reporting date or as of October 15, 2024.  Note: Report students formerly designated as “first professional” in the graduate cells.  For information o"
2024-2025,B,B2,. Enrollment by Racial/Ethnic Category,"B2. Enrollment by Racial/Ethnic Category Provide numbers of undergraduate students for each of the following categories as of the institution's official fall reporting date or as of October 15, 2024.  Include international students only in the category ""Nonresidents.""  Complete the “Total Undergra"
2024-2025,B,B3,. Persistence,"B3. Persistence Number of degrees awarded by your institution from July 1, 2023, to June 30, 2024. AWARD TYPE # AWARDED Certificate/diploma: Associate degrees: Bachelor’s degrees: 1337 Post-bachelor’s certificates: 14 Master’s degrees: 1043 Post-master’s certificates: Doctoral degrees – 54 research/"
2024-2025,B,B4,-B21: Graduation Rates,"B4-B21: Graduation Rates The items in this section correspond to data elements collected by the IPEDS Web-based Data Collection System’s Graduation Rate Survey (GRS).  For complete instructions and definitions of data elements, see the IPEDS GRS Forms and Instructions for the 2024-2025 Survey. http"
2024-2025,B,B12,,"B12 degree/certificate-seeking students: Of the initial cohort, how many did not persist and did not graduate for the following reasons: • Death • Permanently Disability"
2024-2025,B,B13,"• Service in the armed forces,","B13 • Service in the armed forces, • Foreign aid service of the federal government • Official church missions • Report total allowable exclusions Final cohort, after adjusting for allowable"
2024-2025,B,B14,,B14 exclusions: Completers of programs of less than two years
2024-2025,B,B15,,B15 duration (total): Completers of programs of less than two years
2024-2025,B,B16,,B16 within 150 percent of normal time: Completers of programs of at least two but
2024-2025,B,B17,,B17 less than four years (total): Completers of programs of at least two but
2024-2025,B,B18,less than four-years within 150 percent of,B18 less than four-years within 150 percent of normal time: Total transfers-out (within three years) to other
2024-2025,B,B19,,B19 institutions:
2024-2025,B,B20,Total transfers to two-year institutions:,B20 Total transfers to two-year institutions:
2024-2025,B,B21,Total transfers to four-year institutions:,B21 Total transfers to four-year institutions:
2024-2025,B,B22,. Retention Rates,"B22. Retention Rates Report for the cohort of all full-time, first-time bachelor’s (or equivalent) degree-seeking undergraduate students who entered in Fall 2023 (or the preceding summer term).  The initial cohort may be adjusted for students who departed for the following reasons: * Death * Perman"
2024-2025,C,C1,-C2: Applications,"C1-C2: Applications C1. First-time, first-year students: Provide the number of degree-seeking, first-time, first-year students who applied, were admitted, and enrolled (full- or part-time) in Fall 2024.  Include early decision, early action, and students who began studies during summer in this coho"
2024-2025,C,C2,". First time, first-year wait-listed students","C2. First time, first-year wait-listed students  Students who met admission requirements but whose final admission was contingent on space ☐ Yes ☐ No availability) Do you have a policy of placing students on a waiting list? ✔ If yes, please answer the questions below for Fall 2024 admissions: WAITI"
2024-2025,C,C3,-C5: Admission Requirements,C3-C5: Admission Requirements C3. High school completion requirement Check the appropriate box to identify your high school completion requirement for degree-seeking entering students: ☐ High school diploma is required and GED is accepted ☐ High school diploma is required and GED is not accepted ☐ ✔
2024-2025,C,C4,. Does your institution require or recommend a general college-preparatory program for degree-seeking,C4. Does your institution require or recommend a general college-preparatory program for degree-seeking students? ☐ ✔ Require ☐ Recommend ☐ Neither require nor recommend
2024-2025,C,C5,. Distribution of high school units required and/or recommended. Specify the distribution of academic high,C5. Distribution of high school units required and/or recommended. Specify the distribution of academic high school course units required and/or recommended of all or most degree-seeking students using Carnegie units (one unit equals one year of study or its equivalent). If you use a different syste
2024-2025,C,C6,-C7: Basis for Selection,"C6-C7: Basis for Selection C6. Do you have an open admission policy, under which virtually all secondary school graduates or students with GED equivalency diplomas are admitted without regard to academic record, test scores, or other qualifications? If so, check which applies: ☐ Open admission polic"
2024-2025,C,C7,". Relative importance of each of the following academic and nonacademic factors in your first-time, first-","C7. Relative importance of each of the following academic and nonacademic factors in your first-time, first- year, degree-seeking general (not including programs with specific criteria) admission decisions. Not Very Important Important Considered Considered Academic Rigor of secondary school record "
2024-2025,C,C8,: SAT and ACT Policies,C8: SAT and ACT Policies
2024-2025,C,C8A,. Entrance exams,"C8A. Entrance exams Does your institution make use of SAT or ACT scores in admission decisions for first-time, first-year, degree-seeking applicants: ☐ ✔ Yes ☐ No If yes, place check marks in the appropriate boxes below to reflect your institution’s policies for use in admission for Fall 2026. Not r"
2024-2025,C,C8B,. Has been removed from the CDS.,C8B. Has been removed from the CDS.
2024-2025,C,C8C,. Has been removed from the CDS.,C8C. Has been removed from the CDS.
2024-2025,C,C8D,". In addition, does your institution use applicants' test scores for academic advising?","C8D. In addition, does your institution use applicants' test scores for academic advising? Yes ✔ No"
2024-2025,C,C8E,.                                                                                          Month       Day,C8E. Month Day Latest date by which SAT or ACT scores must be received for fall- term admission:
2024-2025,C,C8F,". If necessary, use this space to clarify your test policies (e.g., if tests are recommended for some students,","C8F. If necessary, use this space to clarify your test policies (e.g., if tests are recommended for some students, or if tests are not required of some students due to differences by academic program, student academic background, or if other examinations may be considered in lieu of the SAT and ACT."
2024-2025,C,C8G,". Please indicate which tests your institution uses for placement (e.g., state tests):","C8G. Please indicate which tests your institution uses for placement (e.g., state tests): ☐ SAT ☐ ACT ☐ ✔ AP ☐ CLEP ✔ ☐ ✔ Institutional Exam ☐ State Exam (specify):"
2024-2025,C,C9,"-C12: First-time, first-year Profile","C9-C12: First-time, first-year Profile Provide information for ALL enrolled, degree-seeking, full-time and part-time, first-time, first-year students enrolled in Fall 2024, including students who began studies during summer, international students/ nonresident, and students admitted under special ar"
2024-2025,C,C10,". Percent of all degree-seeking, first-time, first-year students who had high school class rank","C10. Percent of all degree-seeking, first-time, first-year students who had high school class rank within each of the following ranges (report information for those students from whom you collected high school rank information) Assessment Percent Percent in top tenth of high school graduating class "
2024-2025,C,C11,". Percentage of all enrolled, degree-seeking, first-time, first-year students who had high school","C11. Percentage of all enrolled, degree-seeking, first-time, first-year students who had high school grade-point averages within each of the following ranges (using 4.0 scale).  Report information only for those students from whom you collected high school GPA.  If you are able to report GPA range"
2024-2025,C,C12,". Average high school GPA of all degree-seeking, first-time, first-year students who","C12. Average high school GPA of all degree-seeking, first-time, first-year students who submitted GPA: Average High School GPA Percent of total first-time, first-year students who submitted high school GPA: % Percent Submitting GPA"
