year,metric,sex,value
2024-2025,applied,male,15330
2024-2025,applied,female,17411
2024-2025,admitted,male,1920
2024-2025,admitted,female,2030
2024-2025,enrolled,male,862
2024-2025,enrolled,female,984
2023-2024,applied,male,15206
2023-2024,applied,female,17034
2023-2024,admitted,male,1847
2023-2024,admitted,female,2008
2023-2024,enrolled,male,873
2023-2024,enrolled,female,955
2019-2020,applied,male,12133
2019-2020,applied,female,13293
2019-2020,admitted,male,1663
2019-2020,admitted,female,1859
2019-2020,enrolled,male,839
2019-2020,enrolled,female,893
