year,category,male,female,unknown
2024-2025,undergrad_FT_total,3508,4025,1
2024-2025,undergrad_PT_total,166,520,0
2024-2025,undergrad_total,3674,4545,1
2024-2025,graduate_FT_total,3368,3380,0
2024-2025,graduate_PT_total,719,670,0
2024-2025,graduate_total,4087,4050,0
2024-2025,total_undergraduates,8220,,
2024-2025,total_graduate,8137,,
2024-2025,grand_total,16357,,
2023-2024,undergrad_FT_total,3553,4023,0
2023-2024,undergrad_PT_total,189,502,0
2023-2024,graduate_FT_total,3315,3391,0
2023-2024,graduate_PT_total,770,757,0
2023-2024,total_undergraduates,8267,,
2023-2024,total_graduate,8233,,
2023-2024,grand_total,16500,,
2019-2020,total_undergraduates,7822,,
2019-2020,total_graduate,8369,,
2019-2020,grand_total,16191,,
