year,expense,amount
2024-2025,food_and_housing,23338
2024-2025,housing_only,3642
2024-2025,food_only,5661
2024-2025,books_supplies,1357
2024-2025,transportation,1011
2024-2025,other_expenses,2695
2023-2024,tuition_first_year,64500
2023-2024,tuition_in_state,6450
2023-2024,tuition_out_of_state,1290
2023-2024,required_fees,1290
2023-2024,food_and_housing,21854
2023-2024,housing_only,13808
2023-2024,food_only,8046
2023-2024,books_supplies,1304
2023-2024,transportation,972
2023-2024,other_expenses,2603
2019-2020,tuition_first_year,56300
2019-2020,tuition_in_state,2346
2019-2020,tuition_out_of_state,1086
2019-2020,room_and_board,17402
