year,metric,sex,value
2025-2026,applied,male,22819
2025-2026,applied,female,27445
2025-2026,admitted,male,1189
2025-2026,admitted,female,1198
2025-2026,enrolled,male,799
2025-2026,enrolled,female,834
2024-2025,applied,male,24951
2024-2025,applied,female,32540
2024-2025,admitted,male,1136
2024-2025,admitted,female,1091
2024-2025,enrolled,male,782
2024-2025,enrolled,female,772
2017-2018,applied,male,15129
2017-2018,applied,female,17785
2017-2018,admitted,male,1110
2017-2018,admitted,female,1175
2017-2018,enrolled,male,762
2017-2018,enrolled,female,817
2014-2015,applied,male,14803
2014-2015,applied,female,16129
2014-2015,admitted,male,1020
2014-2015,admitted,female,930
2014-2015,enrolled,male,706
2014-2015,enrolled,female,654
2010-2011,applied,male,11759
2010-2011,applied,female,14110
2010-2011,admitted,male,1028
2010-2011,admitted,female,1011
2010-2011,enrolled,male,647
2010-2011,enrolled,female,697
