year,category,male,female,unknown
2025-2026,undergrad_FT_total,3239,3318,76
2025-2026,undergrad_PT_total,15,19,0
2025-2026,graduate_FT_total,3766,4662,209
2025-2026,graduate_PT_total,106,177,70
2025-2026,total_undergraduates,6667,,
2025-2026,total_graduate,8990,,
2025-2026,grand_total,15657,,
2024-2025,undergrad_FT_total,3234,3422,97
2024-2025,undergrad_PT_total,33,28,0
2024-2025,graduate_FT_total,3732,4460,173
2024-2025,graduate_PT_total,126,215,6
2024-2025,total_undergraduates,6814,,
2024-2025,total_graduate,8750,,
2024-2025,grand_total,15564,,
2017-2018,total_graduate,7228,,
2017-2018,grand_total,12974,,
2014-2015,total_undergraduates,5477,,
2014-2015,total_graduate,6859,,
2014-2015,grand_total,12336,,
2010-2011,total_undergraduates,5310,,
2010-2011,total_graduate,6391,,
2010-2011,grand_total,11701,,
