year,expense,amount
2025-2026,tuition_first_year,72500
2025-2026,required_fees,21600
2025-2026,food_and_housing,21600
2025-2026,housing_only,12080
2025-2026,food_only,9520
2025-2026,books_supplies,1000
2025-2026,transportation,1100
2025-2026,other_expenses,2700
2024-2025,tuition_first_year,69900
2024-2025,required_fees,20650
2024-2025,food_and_housing,20650
2024-2025,housing_only,11550
2024-2025,food_only,9100
2024-2025,books_supplies,1000
2024-2025,transportation,1100
2024-2025,other_expenses,2700
2017-2018,tuition_first_year,51400
2017-2018,tuition_out_of_state,51400
2017-2018,room_and_board,15500
2014-2015,tuition_first_year,47600
2014-2015,room_only,3525
2014-2015,board_only,720
2014-2015,room_and_board,14600
2014-2015,transportation,720
2014-2015,other_expenses,720
2010-2011,tuition_first_year,201
2010-2011,room_only,100
2010-2011,board_only,720
2010-2011,room_and_board,12200
2010-2011,transportation,720
2010-2011,other_expenses,2150
